file,query,answer
star_structure_046.graphml,Which Evidence best supports the contrast between the confidence interval and the null hypothesis when testing the hypothesis?,"""EVIDENCE"""
star_structure_054.graphml,"Which Identifier is EPSILON_IJ related to T_U, Μ_HAT, and Μ?","""X_IJ"""
star_structure_048.graphml,"Which Measurement is used to assess the relationship between a REGRESSION MODEL and INDIVIDUAL data, particularly in the context of FISH where there is ZERO CORRELATION?","""WEIGHT"""
star_structure_044.graphml,Which Samples demonstrate the Weak Law of Large Numbers under a given Computational Problem with a specific Probability Distribution and Variance?,"""IID SAMPLES"""
star_structure_047.graphml,"Which Measurement shows a negative correlation between AGE and PHYSICAL BODY, particularly WEIGHT AGAINST HEIGHT?","""HEIGHT"""
star_structure_049.graphml,which Plot minimizes the SQUARED DISTANCE in the context of DATA VISUALIZATION when using NUMBER_OF_BINS for the FIG?,"""PLOT"""
star_structure_066.graphml,"Which Data items are used for PREDICTION in HIGH DIMENSIONAL DATA, particularly when analyzing INDIVIDUALS using a HISTOGRAM?","""DATA ITEMS"""
star_structure_045.graphml,"Which ""Process"" involves BOOTSTRAP REPLICATE, DECISION TREE, DECISION BOUNDARY, and VITERBI ALGORITHM?","""ALGORITHM"""
star_structure_055.graphml,"Which Statistical Distribution is illustrated in WORKED EXAMPLE 9.12, where the BETA DISTRIBUTION (PRIOR) is compared to the UNIFORM DISTRIBUTION?","""BETA DISTRIBUTION"""
star_structure_051.graphml,"Which Anatomical Term is associated with CONDITIONAL INDEPENDENCE, NORMAL DISTRIBUTION, TEST, and PRIOR?","""POSTERIOR"""
star_structure_056.graphml,"Which Statistical measure is used to analyze the relationship between two-dimensional vectors in a scatter plot, often involving summation of coordinates?","""CORRELATION COEFFICIENT"""
star_structure_059.graphml,"Which Distribution is most relevant to the scenarios involving Α, BETA DISTRIBUTION, BAYESIAN CONFIDENCE INTERVAL, and POISSON DISTRIBUTION?","""GAMMA DISTRIBUTION"""
star_structure_061.graphml,"Which Alphabet letter is commonly used to represent the shape parameter in the GAMMA DISTRIBUTION, often denoted as BETA DISTRIBUTION, and how does it relate to the RESIDUAL analysis in the context of LINEAR REGRESSION?","""Β"""
star_structure_063.graphml,"Which Performance indicator is most effectively used for REAL-TIME MONITORING and PARAMETER SETTINGS, with CROSS-VALIDATION to ensure accuracy and AUC as the primary metric?","""MODEL PERFORMANCE"""
star_structure_065.graphml,"Which ""Mathematical Concept"" is used in MACHINE LEARNING to describe the ROTATION of COMPONENTS around the axis X?","""VECTOR"""
star_structure_068.graphml,"Which Error messages are related to MEAN, PREDICTION FUNCTION, U_I, and VARIANCE?","""ERRORS"""
star_structure_067.graphml,Which Function is used to predict the value of a DATA ITEM A based on the provided DATA POINTS?,"""LINEAR FUNCTION"""
star_structure_069.graphml,Which Letter represents the linear function Y_I = B * LAMBDA_A?,"""A"""
star_structure_053.graphml,"Which Activity is most relevant to UNIFORM PRIOR, BAYESIAN INFERENCE, JOINT DISTRIBUTION, and BINOMIAL DISTRIBUTION?","""COIN FLIPPING"""
star_structure_064.graphml,"Which Statistical measure is used to compare the SAMPLE MEAN with the POPULATION MEAN, often employing a TEST STATISTIC or BOOTSTRAP method?","""STANDARD ERROR"""
star_structure_050.graphml,"Which Data type is suitable for visualizing relationships in high dimensions, such as a scatterplot matrix or a covariance matrix, while also being applicable to low-dimensional data like a LOW DIMENSIONAL BLOB?","""DATA BLOB"""
star_structure_072.graphml,"Which ""Organisms"" are represented as points in the SCATTER PLOT, specifically adult horses and foals?","""STERILE MALES"""
star_structure_058.graphml,Which Letter represents the relationship between E(Y) and the mean in the context of LINEAR REGRESSION?,"""Y"""
star_structure_073.graphml,"Which Education is most effective for optimizing the process of STREAMINGLINEARREGRESSIONWITHSGD, A/B TESTING, SPARK STREAMING, and BATCH MACHINE LEARNING?","""ONLINE LEARNING"""
star_structure_057.graphml,"Which ""Identifier"" is most strongly correlated with MEAN_Y, as indicated by the CORRELATION COEFFICIENT, within the context of the COVMAT_Y matrix and the variable A?","""Y_I"""
star_structure_079.graphml,"Which Issues are related to VITAMIN B3, TRUCK, P(N), and SATURATED FAT?","""PROBLEMS"""
star_structure_078.graphml,"Which Mathematical Concept is related to STEM PLOTS, DATA BLOB, SCATTERPLOT MATRICES, and LOW DIMENSIONAL DATA?","""HIGH DIMENSIONS"""
star_structure_074.graphml,which Principal Component Analysis uses SVD on the input data to perform row matrix transformation for dimensionality reduction?,"""PCA"""
star_structure_052.graphml,"Which ""Measurement"" involves using MAXIMUM LIKELIHOOD and PRIOR PROBABILITY to obtain an ESTIMATE OF Θ within the framework of MAXIMUM LIKELIHOOD ESTIMATION?","""MAP ESTIMATE"""
star_structure_086.graphml,"Which Streaming platform utilizes LINEAR MODELS, ONLINE LEARNING, STREAMINGCONTEXT, and DSTREAM effectively?","""SPARK STREAMING"""
star_structure_075.graphml,Which Technique is used in the Netflix Prize for analyzing the USER-FACTOR MATRIX with PCA to improve RECOMMENDER SYSTEMS?,"""MATRIX FACTORIZATION"""
star_structure_080.graphml,"Which ""Concept"" involves 10 EXPERIMENTS, a SAMPLE SPACE, and a TRIAL?","""OUTCOME"""
star_structure_084.graphml,"which Dataset involves OUTLYING DATA POINT, MULTIDIMENSIONAL SCALING, STEM PLOT, and PRINCIPAL COMPONENT ANALYSIS?","""HEIGHT-WEIGHT DATASET"""
star_structure_085.graphml,"Which Function is related to FLATMAP, Λ^(1/2), IVEBAYES, and GLMNET PACKAGE?","""LAMBDA"""
star_structure_070.graphml,"Which Alphabet involves PROBABILITY, ORTHONORMAL MATRIX, T!/<U!(T-U)!, and LAMBDA_A?","""U"""
star_structure_081.graphml,"Which Mathematical concept is related to OUTCOME, PROBABILITY, PROBABILITY EXPERIMENT, and MONTY HALL PROBLEM?","""SAMPLE SPACE"""
star_structure_060.graphml,"Which Statistical concept involves the estimation of PARAMETER Θ through the use of LIKELIHOOD and POSTERIOR DISTRIBUTION, with the POSTERIOR MEAN being a key measure of interest?","""PRIOR DISTRIBUTION"""
star_structure_082.graphml,"which Data Repository is associated with P53 EXPRESSION DATA, the IRIS DATASET, Barry Becker, and Ronny Kohavi?","""UC IRVINE MACHINE LEARNING DATA REPOSITORY"""
star_structure_076.graphml,"Which Matrix includes USEFUL FACTS 10.1, DATA BLOB, SIGMA_JK, and PARAMETERS?","""COVARIANCE MATRIX"""
