file,query,answer
star_structure_001.graphml,"Which Demo showcases VR RIG technology and VR RESEARCH contributions, inspired by ZUCKERBERG and Q-TIP?","""VR DEMO"""
star_structure_010.graphml,"Which Technology has been significantly influenced by Stanford, Colorblind Filter, Virtual Worlds, and Arizona Cardinals?","""VR TECHNOLOGY"""
star_structure_008.graphml,"Which Psychologists have extensively researched topics such as STRESS, SIOP, ATTRITION, and CONFLICT?","""I-O PSYCHOLOGISTS"""
star_structure_007.graphml,"Which Person is most related to AVATAR LIMB MOVEMENT, DAILY ACTIVITIES, MASSAGE, and CEREBRAL PALSY?","""CAROL P"""
star_structure_009.graphml,"Which Computer hardware component includes the ADDRESS BUS, DATA BUS, and is based on the PRINCETON ARCHITECTURE CPU?","""SYSTEM BUS"""
star_structure_019.graphml,Which Team is responsible for the FEATURE ROLLOUT and RETROSPECTIVE meetings?,"""DEVELOPMENT TEAM"""
star_structure_025.graphml,"Which Company is associated with Derek, training, the Arizona Cardinals, and PALMER?","""STRIVR"""
star_structure_002.graphml,"Which VR Rig was used for the VR Demo by Carson Palmer, who suffered a season-ending knee injury, with Kevin Hagan involved?","""VR RIG"""
star_structure_012.graphml,Which Version control system is commonly used in combination with Facebook Chat for continuous integration and code commit processes in development techniques?,"""VERSION CONTROL"""
star_structure_003.graphml,"Which Technology is related to TRACKING, ANDY BEALL, MATTHEW LOMBARD, and RENDERING?","""VR"""
star_structure_018.graphml,"Which Baseball player is associated with STRIVR HMD, QUARTERBACK, VR RIG, and ARIZONA CARDINALS?","""CARSON PALMER"""
star_structure_004.graphml,"Which Technology has the most significant impact on students' learning experiences, such as HIGH FIDELITY, TELEPRESENCE, and SECOND LIFE?","""VIRTUAL REALITY"""
star_structure_017.graphml,"which Team is associated with STRIVR, PALMER, Carson Palmer, and VR TECHNOLOGY?","""ARIZONA CARDINALS"""
star_structure_024.graphml,"Which Name is associated with HMD, the UNIVERSITY OF SOUTHERN CALIFORNIA, the PLAYBOOK, and the ARIZONA CARDINALS?","""PALMER"""
star_structure_021.graphml,"Which Initiative involves the VALUE STREAM MAP, RELEASE MANAGERS, INFOSEC TEAM, and OPERATIONS TEAM?","""DEVOPS INITIATIVE"""
star_structure_022.graphml,"Which Analyst excels in influencing core leadership attributes and demonstrates strong business acumen, often working closely with the CHRO?","""WORKFORCE ANALYTICS LEADER"""
star_structure_016.graphml,"Which Website features contributions from JORDAN MARON, SIMON LANE, LEWIS BRINDLEY, and NFL?","""YOUTUBE"""
star_structure_026.graphml,"Which Name is related to STOCKHOLM, MIDASPLAYER, JALBUM, and AVALANCHE?","""MARKUS"""
star_structure_005.graphml,"Which VR headset is most suitable for room scale VR experiences among the options like GOOGLE GLASS, OCULUS RIFT, and has been tested with PARTICIPANTS?","""VR HEADSET"""
star_structure_023.graphml,"Which Therapy was used by Kim Bullock in the study involving PARTICIPANT A and an immersive virtual reality headset, as approved by the CENTERS FOR MEDICAID AND MEDICARE SERVICES (CMS)?","""VR THERAPY"""
star_structure_006.graphml,"Which Analytics Projects require collaboration with STAKEHOLDERS, a CHANGE MANAGEMENT OR IMPLEMENTATION EXPERT, and an HR BUSINESS PARTNER (HRBP) to address specific BUSINESS QUESTIONS?","""ANALYTICS PROJECTS"""
star_structure_011.graphml,Which Technology Company employs IAN BAILIE and is known for its use of CISCO TALENT CLOUD in workforce analytics and skills development?,"""CISCO"""
star_structure_015.graphml,"Which Person is associated with REMOUND WRIGHT, MIKE BLOOMGREN, VR RIG, and 95 BAMA?","""KEVIN HOGAN"""
star_structure_029.graphml,which Organization is involved in developing VR immersive therapy and VR simulation for firefighters in a virtual scenario?,"""DIFEDE"""
star_structure_020.graphml,Which Business Document from WOLTERS KLUWER is used by the ANALYTICS TEAM at PFIZER for GAP ANALYSIS?,"""BUSINESS CASE"""
star_structure_013.graphml,Which Fitness equipment can help track calorie deficit and is suitable for medical models in the context of data economies?,"""FITNESS DEVICES"""
star_structure_032.graphml,"Which Virtual Reality has been associated with DIFEDE, 9/11, Hoffman, and Imaginal Therapy?","""VR SIMULATION"""
star_structure_028.graphml,"Which ""Company"" has experienced a production incident on its assembly line during the deployment pipeline, specifically involving TOYOTA?","""ANDON CORD"""
star_structure_031.graphml,"Which Illness is associated with TREADMILL, GINGER ALE, VR, and UC Santa Barbara?","""SIMULATOR SICKNESS"""
star_structure_030.graphml,"Which Last name is associated with SNOWWORLD, RANDOMIZED CONTROLLED TRIAL, VR SIMULATION, and BURN WOUNDS?","""HOFFMAN"""
star_structure_037.graphml,Which Video game is a multiplayer game developed by Markus and related to Zachary Barth?,"""INFINIMINER"""
star_structure_027.graphml,Which Device is most suitable for TECHNOLOGY DESIGNERS to integrate with BIOSENSORS for enhancing USER experience?,"""DEVICE"""
star_structure_014.graphml,"Which University was involved in the VR TECHNOLOGY project, hosted the 2014 FOSTER FARMS BOWL game, and had faculty members DAVID SHAW and ROY PEA?","""STANFORD"""
star_structure_033.graphml,"Which firefighter experienced PTSD after the 9/11 attacks and later worked as an FBI agent, utilizing VR technology for trauma treatment?","""FIREFIGHTER"""
star_structure_040.graphml,"Which Training simulations are used by professional sports teams to enhance athletic movements, such as Tai Chi?","""VR TRAINING SIMULATIONS"""
star_structure_035.graphml,"Which Company has the highest rate of attrition among its employees, especially in terms of succession planning within its business, manager, or function?","""NIELSEN"""
star_structure_036.graphml,"Which Car Accidents occur more frequently in the United States, 40,000 per year or 20-50 million worldwide?","""CAR ACCIDENTS"""
star_structure_045.graphml,"Which Company conducted the selection test and personality assessment for Alan Brown, initially associated with RENTOKIL?","""RENTOKIL"""
star_structure_043.graphml,"Which Music genre is most closely associated with OCULUS, COMPUTING POWER, VIRTUAL HANDSHAKE, and VIRTUAL REALITY?","""HIGH FIDELITY"""
star_structure_042.graphml,"Which Company is associated with Mark Zuckerberg, the HipHop Compiler, Facebook Chat, and HaiPing Zhao?","""FACEBOOK"""
star_structure_049.graphml,"Which Attack took place in a VR simulation involving a firefighter in New York, United States?","""9/11"""
