file,query,answer
bridge_structure_001.graphml,Which PERSON is moving to Alaska after graduation while deeply connected to Jacob Black's betrayal and the significance of their journey to La Push?,"""NARRATOR"""
bridge_structure_011.graphml,"Which PERSON are deeply involved in family life and decision-making, as seen in the PARENTS' CONVERSATION and their concern about Ariel's disappearance?","""PARENTS"""
bridge_structure_003.graphml,"Which PERSON involves interactions with wolves, belongs to a pack, and faces tension with Edward over Bella's affections?","""JACOB BLACK"""
bridge_structure_014.graphml,"Which Frank is influenced by his mention of service, brother Jake's bathroom visits, struggles with thoughts of suicide, and considerations of God?","""FRANK"""
bridge_structure_012.graphml,"Which event features wrought-iron chairs for accommodating guests, involves Alice as an organizer, and has connections to Ariel's disappearance and Bella's mixed feelings about attending?","""PARTY"""
bridge_structure_009.graphml,"Which PERSON is deeply connected to the narrator's mother, reflecting emotional support and family bond, and shares a significant romantic relationship with Edward, characterized by love and protection, while also experiencing memorable interactions with Ginger French and a transformative journey to La Push?","""NARRATOR"""
bridge_structure_013.graphml,"Which PERSON is characterized by a significant friendship with Bella, a mutual interest in Edna Sweeney, a personal conflict with Karl Brandt, and a painful interaction with Doyle?","""JAKE"""
bridge_structure_007.graphml,"Which PERSON is characterized by passion and self-preservation, and shows interest in newborns while also being pursued by Bella?","""VICTORIA"""
bridge_structure_010.graphml,"Which category involves Emil Brandt, Ariel's death, Bella's family dynamics, and Thanksgiving Day celebrations?","""FAMILY"""
bridge_structure_004.graphml,"Which person is central to Leah's complex relationships, involving a shared interest with Emily, a significant emotional connection with Sam, and a connection with Billy, as well as a pivotal event involving a newborn wolf?","""LEAH"""
bridge_structure_008.graphml,"Which PERSON sings at the funeral service, goes to the choir room, and is related to Frank in New Bremen?","""MY MOTHER"""
bridge_structure_005.graphml,"Which Sue, whose tough personality and relationship with Leah suggest a strong familial bond and shared resilience, is involved in the events leading to Leah's injury from engaging with the newborn wolf, and how does this interaction impact the dynamics with Jacob, who shows concern for Leah and saves her, and Emily, with whom Leah shares a significant connection?","""LEAH"""
