file,query,answer
bridge_subgraph_01010.graphml,哪种检查能有效区分孤立性盲肠溃疡、直肠癌，并同时识别肠套叠和先天性肠旋转不良？,钡剂灌肠
bridge_subgraph_00986.graphml,哪种疾病在糖尿病肾病的病理分型、骨折的鉴别诊断中需特别注意，且与冠心病的风险评估因素和主动脉夹层的病因密切相关？,糖尿病
bridge_subgraph_00996.graphml,哪种检查能同时检测巨噬细胞抑制因子1在星形细胞瘤、肺癌和结肠癌中的表达情况？,MIC-1
bridge_subgraph_01003.graphml,哪种医学内容更容易与肾窦分离和瘢痕妊娠直接相关，且常与高血压病和AD同时出现？,超声诊断
bridge_subgraph_01004.graphml,哪种医学内容能同时涵盖妇产科急腹症、不明原因腹股沟区疼痛，以及NEC和桥本甲状腺炎的相关知识？,超声诊断
bridge_subgraph_01000.graphml,哪种检查能同时用于诊断胎儿18-三体综合征、腹股沟斜疝、盆腔恶性肿瘤和先兆流产？,超声诊断
bridge_subgraph_01006.graphml,哪种检查能有效诊断儿童腹型过敏性紫癜及其肠道损害，并鉴别是否存在先天性主动脉缩窄？,超声诊断
bridge_subgraph_01011.graphml,哪种检查在辅助治疗结肠造瘘、糖尿病和脑卒中的同时，还能辅助检查支气管哮喘？,电话回访
bridge_subgraph_01013.graphml,哪种检查能同时有效诊断创伤性肝损伤、合并室壁瘤、高尿酸血症和脑梗死？,超声诊断
bridge_subgraph_01007.graphml,哪种检查能同时准确诊断局限性脂肪肝、先天性输尿管狭窄，并兼顾评估产后出血和病毒性肝炎的情况？,超声诊断
bridge_subgraph_01005.graphml,哪种检查能有效鉴别M4EO型、嗜酸粒细胞增多症、肿瘤以及艾滋病？,骨髓检查
bridge_subgraph_01008.graphml,哪种检查能够同时用于评估PROISCD-CHD和IPF-PRO，以及腰椎间盘突出症和乳腺癌？,结局量表
bridge_subgraph_01012.graphml,哪种检查最适合同时诊断斜疝、SVC以及排查肿瘤和甲状腺腺瘤？,超声诊断
bridge_subgraph_01014.graphml,哪种检查能够同时用于诊断肺良性痰病、UC、食管癌和乳腺癌？,血清CYFRA21-1
bridge_subgraph_01009.graphml,哪种检查能更有效地诊断输尿管囊肿及其缺陷，同时适用于急性心肌梗死的MSCT检查？,超声诊断
bridge_subgraph_01016.graphml,哪种检查最适合用于绝经后妇女卵巢肿物、完全流产、精神分裂症以及新生儿缺氧缺血性脑病的影像学诊断？,超声诊断
bridge_subgraph_01021.graphml,哪种检查能有效区分良恶性胸腔积液、结直肠癌、肿瘤及卵巢癌？,肿瘤标志物检测
bridge_subgraph_01026.graphml,哪种检查能同时用于诊断肝脏疾病、甲状腺肿、早产和子宫腺肌症？,超声诊断
