file,query,answer
star_structure_006.graphml,"Which Political Party was associated with SA, Ludendorff, Drexler, and DVFP?","""NSDAP"""
star_structure_002.graphml,"Which Activity is most relevant to PLATFORM, IRON LADDER, RICHARD, and SPIRAL STAIRCASE?","""CLIMB"""
star_structure_014.graphml,"Which Government official is associated with the Taliban, Bollywood, Independence Day, and Paris?","""GOVERNOR"""
star_structure_008.graphml,Which Religion did FA HSIEN and XUANZANG travel along the SILK ROAD to UTTARAPATHA?,"""BUDDHISM"""
star_structure_016.graphml,"Which Indigenous People possess symbolic, wounding, and supernatural powers, often utilizing guns in their practices?","""NATIVE AMERICANS"""
star_structure_005.graphml,"Which ""Company"" was associated with SPD OFFICES AND NEWSPAPERS, the Weimar System, the Anti-Semitic Initiative, and Hitler?","""SA MEN"""
star_structure_007.graphml,"Which Civilization was home to Jawaharlal Nehru, Mohenjodaro, the Indus Valley Script, and Meluha?","""INDUS VALLEY CIVILIZATION"""
star_structure_001.graphml,"Which Mountain Resort was featured in the Pall Mall Gazette in London, associated with the Dutch Salon, and prompted a move to Paris?","""WHISTLER"""
star_structure_020.graphml,"Which Negotiations were involved in the interactions between Bolshevism, the Nazi Regime, Simon and Eden, and Britain?","""DIPLOMATIC NEGOTIATIONS"""
star_structure_010.graphml,"Which Newspaper was associated with ÉMILE BARR, OTIS ELEVATOR, PERSIAN SHAH, and the WORLD'S FAIR?","""LE FIGARO DE LA TOUR"""
star_structure_011.graphml,Which Government was responsible for the Italian Border during the era of Hitler and the Wehrmacht under the FÜHRER?,"""GERMAN GOVERNMENT"""
star_structure_025.graphml,Which city hosted the OLYMPIC SUMMER GAMES and was associated with the NSDAP and HITLER?,"""BERLIN"""
star_structure_009.graphml,Which Mughal emperor ruled India after the Lodhis?,"""BABUR"""
star_structure_015.graphml,"Which Baker opened The Restaurant Durand in Paris on January 27, 1889, near Comte de France?","""BOULANGER"""
star_structure_017.graphml,"Which Monk was associated with the TANG DYNASTY, the STUPA, and the BAMIYAN BUDDHAS in the context of BUDDHISM?","""XUANZANG"""
star_structure_013.graphml,"Which Name is associated with INDIA, JATS, GHAZIS, and SINDH?","""MAHMUD"""
