file,query,answer
subgraphs_batch_067_textual_subgraph_0313.graphml,"Who is the individual born in Belfast, known for directing the film ""Frankenstein,"" and is also associated with a marriage and proficiency in the English language?",Kenneth Branagh
subgraphs_batch_067_textual_subgraph_0325.graphml,"Which film was released in Argentina, Ireland, and the United States, and is primarily in the English language?",Cosmopolis
subgraphs_batch_067_textual_subgraph_0317.graphml,"Who is the male artist who has been nominated for both the Grammy Award for Best Pop Collaboration with Vocals and the Grammy Award for Best R&B Song, and also has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0322.graphml,Who is the male film producer from Great Britain who has been nominated for awards alongside Bradley Cooper and is proficient in the English language?,Anupam Kher
subgraphs_batch_067_textual_subgraph_0318.graphml,"Who is the male artist who has been nominated for both the Grammy Award for Best R&B Song and the Grammy Award for Best Male Pop Vocal Performance, and also has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0314.graphml,"Which musician, known for their collaboration on ""The Blues Brothers"" film and nominated for a Grammy Award for Best Pop Collaboration with Vocals, was born in the United States and has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0316.graphml,"Who is the person born in the United States of America, known for their role in ""The Blues Brothers"" film and nominated for the Grammy Award for Best Male R&B Vocal Performance, and also has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0334.graphml,"Which film was released in both Peru and Israel and is primarily in the English language, also having an official website?",The Golden Compass
subgraphs_batch_067_textual_subgraph_0326.graphml,"Who is the artist that split from a famous musician known for their work with electronic instruments, regularly performs using a keyboard, and has a presence on an official website?",Marilyn Manson
subgraphs_batch_067_textual_subgraph_0329.graphml,"Which film features both a makeup artist from Great Britain and a sound mixer in its crew, is in the English language, and is associated with the United States?",Monster House
subgraphs_batch_067_textual_subgraph_0331.graphml,"Which film, related to Sweden and the United States, has won the National Society of Film Critics Award for Best Film and has an official website?",Melancholia
subgraphs_batch_067_textual_subgraph_0340.graphml,Who is the female actor from the United States who has won the Dinah Shore Award?,Lucille Ball
subgraphs_batch_067_textual_subgraph_0320.graphml,"Who is the artist that has won awards like Gladys Knight, contributed to tracks featuring the piano, is associated with a webpage listed under ""Official Website,"" and has musicians skilled in playing the keyboard in their music?",Ray Charles
subgraphs_batch_067_textual_subgraph_0328.graphml,"Who is the artist born in the United States of America, known for their affiliation with The Blues Brothers film and nominated for the Grammy Award for Best Male Pop Vocal Performance, also associated with an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0324.graphml,Who is the male actor from Great Britain who has won a Grammy Award for Best R&B Song and was also nominated for awards associated with Phil Ramone?,Ray Charles
subgraphs_batch_067_textual_subgraph_0333.graphml,Who is the male actor from Great Britain who has been nominated for both the Grammy Award for Best R&B Song and the Grammy Award for Best Pop Collaboration with Vocals?,Ray Charles
subgraphs_batch_067_textual_subgraph_0339.graphml,Which American TV show featuring Jeremy Piven as a regular cast member is a comedy and primarily in English?,The Larry Sanders Show
subgraphs_batch_067_textual_subgraph_0330.graphml,"Which artist is known for their association with the film ""The Blues Brothers,"" has won awards like those won by Chaka Khan, and has been nominated for both the Grammy Award for Best Male Country Vocal Performance and the Grammy Award for Album of the Year?",Ray Charles
subgraphs_batch_067_textual_subgraph_0332.graphml,"Who is the artist who has been nominated for both the Grammy Award for Best Male R&B Vocal Performance and the Grammy Award for Best Male Pop Vocal Performance, has an official website, and was born in the United States?",Ray Charles
subgraphs_batch_067_textual_subgraph_0335.graphml,"Who was the male African American musician known for his role in ""The Blues Brothers"" film and who passed away in Beverly Hills?",Ray Charles
subgraphs_batch_067_textual_subgraph_0345.graphml,"Who is the male actor and television producer from London, known for his work in the United Kingdom?",David Niven
subgraphs_batch_067_textual_subgraph_0342.graphml,Who is the male artist born in the United States who has been nominated for the Grammy Award for Best Male Pop Vocal Performance and has an official website?,Ray Charles
subgraphs_batch_067_textual_subgraph_0341.graphml,"Who is the male actor who was nominated for a BAFTA Award for Best Actor in a Supporting Role for his role in the film ""Galaxy Quest"" and speaks English?",Alan Rickman
subgraphs_batch_067_textual_subgraph_0327.graphml,"Who is the individual who has been nominated for both the Grammy Award for Best Male R&B Vocal Performance and the Grammy Award for Best R&B Song, and is also known for being married and having a career as an actor from Great Britain?",Ray Charles
subgraphs_batch_067_textual_subgraph_0346.graphml,"Who is the actor from Great Britain who starred in ""The Blues Brothers,"" is renowned for playing the piano, and has been nominated for the Grammy Award for Record of the Year?",Ray Charles
subgraphs_batch_067_textual_subgraph_0337.graphml,"Who is the person that was born in the United States, is affiliated with The Blues Brothers film, has been nominated for the Grammy Award for Best Male R&B Vocal Performance, and speaks English?",Ray Charles
subgraphs_batch_067_textual_subgraph_0347.graphml,"Who is the individual born in the United States, known for their English language skills and acting profession, and nominated for the Grammy Award for Best Pop Collaboration with Vocals?",Ray Charles
subgraphs_batch_067_textual_subgraph_0336.graphml,"Who is the musician from Great Britain who plays the alto saxophone and has won a Grammy Award for Best Instrumental Composition, with nominations also including Joshua Redman?",Paquito D'Rivera
subgraphs_batch_067_textual_subgraph_0344.graphml,"Which artist has been nominated for the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best Pop Vocal Album, and is also known for his role in the film ""The Blues Brothers""?",Ray Charles
subgraphs_batch_067_textual_subgraph_0338.graphml,"Who is the American artist known for being nominated for both the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best Male R&B Vocal Performance, and who also primarily sings in English?",Ray Charles
subgraphs_batch_067_textual_subgraph_0353.graphml,"Which film features personal appearances by Christina Aguilera and The Rolling Stones, has an official website, and was released in the United States?",Shine a Light
subgraphs_batch_067_textual_subgraph_0349.graphml,Who is the American actor known for his proficiency in the English language and nominated for a Grammy Award for Best Pop Collaboration with Vocals?,Ray Charles
subgraphs_batch_067_textual_subgraph_0356.graphml,"Who is the African American actor from New York City known for their role in the film ""Zookeeper""?",Rosario Dawson
subgraphs_batch_067_textual_subgraph_0348.graphml,"Who is the screenwriter from the United States, known for their work related to the United States Dollar and also associated with an official website?",Joan Rivers
subgraphs_batch_067_textual_subgraph_0354.graphml,"Which popular TV show combines elements of comedy and drama, stars John Krasinski, and originates from the United States, being primarily in English?",The Office
subgraphs_batch_067_textual_subgraph_0358.graphml,"Which organization has its headquarters in East Lansing, graduates students in both Computer Science and English Language, and is related to the United States of America?",Michigan State University
subgraphs_batch_067_textual_subgraph_0343.graphml,"Who is the artist born in the United States of America who has been nominated for both the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best Male R&B Vocal Performance, and also has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0350.graphml,"Who is the American artist known for being associated with ""The Blues Brothers"" film and nominated for the Grammy Award for Best Male R&B Vocal Performance, who also speaks English?",Ray Charles
subgraphs_batch_067_textual_subgraph_0357.graphml,"Who is the musician from Great Britain known for their piano contributions to tracks, nominated for a Grammy Award for Best Pop Collaboration with Vocals, and has been married?",Ray Charles
subgraphs_batch_067_textual_subgraph_0351.graphml,"Who is the artist known for their role in ""The Blues Brothers"" film, has the profession of being a musician, was born in the United States, and has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0365.graphml,"Who is the male musician from Great Britain who was born in New York City and is associated with the film ""Little Miss Sunshine""?",Paul Dano
subgraphs_batch_067_textual_subgraph_0366.graphml,"Which film was released in Poland, Spain, and the United States, and has an official website?",Persepolis
subgraphs_batch_067_textual_subgraph_0355.graphml,"Which organization, known for its strong electrical engineering program and located in Massachusetts, is also closely associated with the United States and primarily uses the English language?",Massachusetts Institute of Technology
subgraphs_batch_067_textual_subgraph_0361.graphml,"Which institution is both affiliated with the Association of American Universities and located in the United States, while also being associated with a notable official website?",University of Michigan
subgraphs_batch_067_textual_subgraph_0360.graphml,"Who is the artist who has won the Grammy Award for Best Male Pop Vocal Performance, contributed to tracks featuring the piano, has an official website, and was born in the United States of America?",Ray Charles
subgraphs_batch_067_textual_subgraph_0368.graphml,Who is the English-speaking actor known for contributing piano tracks to The Blues Brothers film?,Ray Charles
subgraphs_batch_067_textual_subgraph_0367.graphml,"Who is the Grammy Award-nominated male country vocalist from the United States, known for his acting and featured on an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0370.graphml,Who is the male artist from the United States who has won the Grammy Award for Best R&B Song and is known for his marriage?,Ray Charles
subgraphs_batch_067_textual_subgraph_0352.graphml,"Who is the individual that passed away in Beverly Hills, has won awards like Gladys Knight, was influenced by Van Morrison, and received award nominations similar to Elton John?",Ray Charles
subgraphs_batch_067_textual_subgraph_0364.graphml,"Who is the musician and composer known for their contributions to the track ""Banjo"" and is also recognized for their marriage and affiliation with Musician-GB?",Fred Frith
subgraphs_batch_067_textual_subgraph_0362.graphml,"Who is the artist that has won the Grammy Award for Best Pop Collaboration with Vocals, received a Grammy for Album of the Year, and is known for their piano skills, as well as being associated with Gladys Knight?",Ray Charles
subgraphs_batch_067_textual_subgraph_0373.graphml,"Who was born in Albany, has won awards like Gladys Knight, is affiliated with pop music artists, and is known for playing the keyboard?",Ray Charles
subgraphs_batch_067_textual_subgraph_0359.graphml,"Who is the male artist who has been nominated for both the Grammy Award for Best R&B Song and the Grammy Award for Best Pop Collaboration with Vocals, and primarily sings in English?",Ray Charles
subgraphs_batch_067_textual_subgraph_0369.graphml,"Who is the male artist who has been nominated for both the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best Male R&B Vocal Performance, and is also known for his marriage?",Ray Charles
subgraphs_batch_067_textual_subgraph_0378.graphml,Who is the artist from the United States that has won the Grammy Award for Best Male Pop Vocal Performance and has an official website?,Ray Charles
subgraphs_batch_067_textual_subgraph_0363.graphml,"Who is the actress that has been nominated for a Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role and shares a connection with Matt Damon, also known for her acting career in Great Britain and having an official website?",Minnie Driver
subgraphs_batch_067_textual_subgraph_0383.graphml,Who is the male actor from Great Britain who was born in Albany and has won the Grammy Award for Best R&B Song?,Ray Charles
subgraphs_batch_067_textual_subgraph_0375.graphml,"Who is the artist that was born in the United States, has won a Grammy Award for Best Male R&B Vocal Performance, is affiliated with The Blues Brothers film, and has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0382.graphml,"Who is the male actor from Great Britain, known for his voice acting work and nominated for awards alongside Fairuza Balk?",Jason Lee
subgraphs_batch_067_textual_subgraph_0371.graphml,"Who is the person that was born in the United States, speaks English, has a connection to the film ""The Blues Brothers,"" and has been nominated for the Grammy Award for Best Male R&B Vocal Performance?",Ray Charles
subgraphs_batch_067_textual_subgraph_0372.graphml,"Who is the artist that was born in the United States, has won a Grammy Award for Best Male R&B Vocal Performance, is affiliated with The Blues Brothers film, and has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0379.graphml,"Which institution offers degrees in Mechanical Engineering and Political Science, has an official website, and is located in the United States?",Tufts University
subgraphs_batch_067_textual_subgraph_0377.graphml,"Which fantasy film, set in the United Kingdom and featuring dialogue in English, has its own official website?",Corpse Bride
subgraphs_batch_067_textual_subgraph_0376.graphml,"Who is the actor from Great Britain, born in Los Angeles, known for appearing in the film ""Cats & Dogs"" and nominated for a Primetime Emmy Award for Individual Performance in a Variety or Music Program?",Jon Lovitz
subgraphs_batch_067_textual_subgraph_0385.graphml,"Who is the male artist nominated for the Grammy Award for Song of the Year alongside Ryan Tedder, and has an official website?",Paul Epworth
subgraphs_batch_067_textual_subgraph_0381.graphml,"Who is the artist from Great Britain known for their role in ""The Blues Brothers"" and has a connection to the United States, with an official website showcasing their work?",Ray Charles
subgraphs_batch_067_textual_subgraph_0384.graphml,Who is the male actor from Great Britain who has been nominated for both the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best R&B Song?,Ray Charles
subgraphs_batch_067_textual_subgraph_0374.graphml,"Which artist has been nominated for awards alongside Michelle Branch and Eric Clapton, and has also won both the Grammy Award for Record of the Year and the Grammy Award for Album of the Year?",Santana
subgraphs_batch_067_textual_subgraph_0380.graphml,"Who is the artist born in the United States who has been nominated for both the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best Male R&B Vocal Performance, and is also known for his proficiency in the English language?",Ray Charles
subgraphs_batch_067_textual_subgraph_0390.graphml,"Who is the person that was born in Albany, is affiliated with The Blues Brothers film, speaks English, and has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0392.graphml,"Who is the American singer born in Albany, known for being nominated for the Grammy Award for Best Male R&B Vocal Performance, and has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0388.graphml,"Who is the person that has won the Hong Kong Film Award for Best New Performer, works as a presenter in the UK, and has a spouse and an official website?",Andy Lau
subgraphs_batch_067_textual_subgraph_0387.graphml,"Which film, featuring a dialogue editor and showcased at the 2010 Berlin International Film Festival, is associated with the United States and has an official website?",Please Give
subgraphs_batch_067_textual_subgraph_0386.graphml,"Who is the artist that has been nominated for both the Grammy Award for Best Male Pop Vocal Performance and the Grammy Award for Best Pop Collaboration with Vocals, and is also known for having an official website and working as an actor in Great Britain?",Ray Charles
subgraphs_batch_067_textual_subgraph_0396.graphml,"Who is the Indian actor who has won the Filmfare Award for Best Actor and is also known for his acting career in the UK, as well as being married?",Bobby Deol
subgraphs_batch_067_textual_subgraph_0405.graphml,Who is the artist from the United States who has won the Grammy Award for Best Male Pop Vocal Performance and is known for singing in English?,Ray Charles
subgraphs_batch_067_textual_subgraph_0400.graphml,Which male artist from the United States has been nominated for both the Grammy Award for Best Pop Collaboration with Vocals and the Grammy Award for Best R&B Song?,Ray Charles
subgraphs_batch_067_textual_subgraph_0407.graphml,Who is the British film producer and actor who has lived in Los Angeles and is proficient in the English language?,Robert Wagner
subgraphs_batch_067_textual_subgraph_0395.graphml,"Who is the individual that starred in ""The Blues Brothers,"" was nominated for a Grammy Award for Best Male Pop Vocal Performance, has an official website, and is known for speaking the English language?",Ray Charles
subgraphs_batch_067_textual_subgraph_0399.graphml,"Who is the artist who was born in the United States and has been nominated for both the Grammy Award for Best Pop Collaboration with Vocals and the Grammy Award for Record of the Year, and also has an official website?",Ray Charles
subgraphs_batch_067_textual_subgraph_0402.graphml,"Who is the artist from the United States, known for his work in the English language, and has been nominated for the Grammy Award for Best Male R&B Vocal Performance?",Ray Charles
subgraphs_batch_067_textual_subgraph_0391.graphml,Who is the musician from the United States known for their contributions to tracks featuring the dobro and bass guitar?,David Mansfield
