file,query,answer
star_structure_004.graphml,"which Business Structure includes GENERAL PARTNER, LIMITED PARTNER, LIMITED PARTNERSHIP AGREEMENT, and PARTNERSHIP?","""LIMITED PARTNERSHIP"""
star_structure_007.graphml,"Which Person is involved in CONTROL, AFFILIATE, RELATED PARTIES, or BORROWING?","""PERSON"""
star_structure_011.graphml,"Which Business Relationship involves an OWNER, a PERSON, a PARTNERSHIP, and an ASSIGNMENT?","""AFFILIATE"""
star_structure_002.graphml,"Which Financial Product involves ALTERNATIVE CURRENCY, DOLLARS, AVAILABILITY PERIOD, and COMMITMENTS?","""REVOLVING LOANS"""
star_structure_003.graphml,"Which Interest Rate is most closely related to the Administrative Agent, the Federal Funds Effective Rate, the Euro-Currency Business Day, and the Overnight Bank Funding Rate?","""NYFRB RATE"""
star_structure_018.graphml,"Which Legal term refers to the payment for using a golf course, often involving additional charges and a cure period for USER compliance?","""OWNER EVENT OF DEFAULT"""
star_structure_009.graphml,"Which Task is directly related to 11 U.S.C. Section 365, Lender, Limited Partners, and Replacement?","""ASSIGNMENT"""
star_structure_016.graphml,"Which Business structure includes a GENERAL PARTNER, a LIMITED PARTNER, and allows for ADDITIONAL FUNDS?","""PARTNERSHIP"""
star_structure_008.graphml,Which Company is involved in the ASSIGNMENT that may INCREASE COSTS and requires CONSSENT from LEGAL COUNSEL?,"""COMPANY"""
star_structure_017.graphml,"Which Person is responsible for CONDEMNATION, QUARTERLY RECONCILIATION, GOLF ROUNDS FEE, and managing AFFILIATE relations?","""OWNER"""
star_structure_006.graphml,"Which Business Structure is most suitable for situations involving Partnership, Incapacity, an Amended and Restated Limited Partnership Agreement, and a Limited Partnership?","""LIMITED PARTNER"""
star_structure_012.graphml,"Which Company is associated with BRIAN MITTS, ADJUSTED BASIS, GENERAL PARTNER, and TREASURY REGULATIONS?","""NREF OP I, L.P."""
star_structure_024.graphml,Which Business Structure allows for tax consolidation and the reporting of a consolidated cash amount?,"""OPERATING PARTNERSHIP"""
star_structure_014.graphml,"Which Sports venue involves PARTIAL TAKING, SEVERANCE AGREEMENT, GROUND LEASES, and USER?","""GOLF COURSE"""
star_structure_005.graphml,"Which Business Role involves a BOARD OF DIRECTORS, a LIMITED PARTNERSHIP, an AGREEMENT, and an INDEMNITEE?","""GENERAL PARTNER"""
