file,query,answer
star_structure_020.graphml,"which Equations are associated with _N_, DETERMINANTS, and MATRIX A(ENTITY, MATRIX)?","""LINEAR EQUATIONS"""
star_structure_017.graphml,Which Letter is related to (B(P⊃Q)⊃Q) and B(P⊃Q)?,"""S"""
star_structure_004.graphml,"Which Mathematical concept involves the FIRST TERM, COMMON DIFFERENCE, and the relationships between LEFT AND RIGHT NEIGHBORS in a SEQUENCE OF NUMBERS?","""ARITHMETIC PROGRESSION"""
star_structure_019.graphml,"Which Philosophy is most closely related to NUMEROLOGY, DESCARTES, ARISTOTLE, and PLATO?","""PHILOSOPHY"""
star_structure_007.graphml,"Which ""Last Name"" is associated with POLYHEDRA, Eulerian POLYHEDRA, MEDICINE, and STAUDT?","""HESSEL"""
star_structure_013.graphml,"Which Mathematical Concept is related to CROSS CAP, KLEIN BOTTLE, CYCLE _A_, and FIGURE 16.15?","""PROJECTIVE PLANE"""
star_structure_008.graphml,"Which Chemical compounds are essential for understanding INTERPRETATION, LOGICAL OPERATIONS, PROPOSITIONAL VARIABLES, and LOGICAL CONNECTIVES?","""FORMULAS"""
star_structure_009.graphml,"Which ""Object"" has both the properties of a TORUS and a MöBIUS BAND, with respect to GAUSSIAN CURVATURE and CURVATURE?","""CYLINDER"""
star_structure_024.graphml,"Which Mathematical symbols are associated with NINETEENTH AND TWENTIETH-CENTURY MATHEMATICIANS, NATURAL NUMBER, NUMBER TWO, and PYTHAGORAS?","""NUMBERS"""
star_structure_006.graphml,"Which Polyhedra are considered a mathematical concept, including NONCONVEX POLYHEDRA and ARCHIMEDEAN SOLIDS, and are also studied by Hessel?","""EULERIAN POLYHEDRA"""
star_structure_022.graphml,"Which Numerical Method is commonly used to solve linear equations involving a positive-definite Hermitian matrix, often with the technique of Successive Over-Relaxation?","""GAUSS-SEIDEL METHOD"""
star_structure_021.graphml,"Which Algorithm is related to FRANCIS, KUBLANOVSKAYA, WILKINSON, and MATRIX A?","""QR METHOD"""
star_structure_001.graphml,"Which Theorem is directly related to PARAGUAY, NEVADA, CALIFORNIA, and MALAWI?","""FOUR COLOR THEOREM"""
star_structure_005.graphml,"Which Mathematician was associated with COLORED CRYSTAL, Eulerian POLYHEDRA, MINERAL COLLECTION, and TUNNELS?","""LHUILIER"""
star_structure_002.graphml,"Which Mathematics includes SQUARE NUMBERS, ALGEBRA, TRIANGULAR NUMBERS, and POLYGONAL NUMBERS?","""PYTHAGOREAN CALCULUS"""
star_structure_025.graphml,"Which Movie involves concepts like SIMILARITY TRANSFORMATIONS, CHARACTERISTIC POLYNOMIAL, and SYSTEMS OF LINEAR DIFFERENTIAL EQUATIONS?","""MATRIX"""
star_structure_012.graphml,"Which Bottle is related to the Euler Number, Cycle B, Nonorientable Surfaces, and the Projective Plane?","""KLEIN BOTTLE"""
star_structure_026.graphml,"Which Mathematical concept is related to HADAMARD'S INEQUALITY, SQUARE MATRIX, FREDHOLM THEORY OF INTEGRAL EQUATIONS, and HERMITIAN MATRIX H?","""DETERMINANT"""
star_structure_033.graphml,Which Letter represents the reasoner in the logical statement K⊃P?,"""K"""
star_structure_018.graphml,"Which Letter is directly related to ~P, K, B~B⊥, and REASONER?","""P"""
star_structure_023.graphml,"Which Matrix involves concepts like DETERMINANT, MATRIX PRODUCT, IDENTITY MATRIX, and CRAMER'S RULE?","""INVERSE MATRIX"""
star_structure_015.graphml,"Which Mathematical constant is related to HOMEOMORPHIC SURFACES, the KLEIN BOTTLE, CHAPTER 23, and the SPHERE?","""EULER NUMBER"""
star_structure_036.graphml,"Which Letter has the same NUMBER OF VECTORS as X, belongs to the DIMENSION, and spans the NULL_SPACE?","""N"""
star_structure_011.graphml,"Which Mathematical Concepts are related to REAL NUMBERS, ORIENTABLE SURFACES, KLEIN BOTTLE, and MÖBIUS BAND?","""NONORIENTABLE SURFACES"""
star_structure_034.graphml,"Which Letter is related to L2, L1, K#L, and R?","""L"""
star_structure_014.graphml,"Which Philosopher was associated with NEO-PLATONISM, CONSTANTINOPLE, ATHENS, and MYSTICISM?","""PROCLUS"""
star_structure_029.graphml,which Nautical Knot is formed by the trefoil knot and is related to the alternating knot and the Seifert surface?,"""SQUARE KNOT"""
star_structure_038.graphml,"Which Unknown is related to X1, P FALSE, NP TRUE, and NP⊃P?","""Y"""
star_structure_035.graphml,"Which Letter is directly related to AXIOMS, LÖBIAN SYSTEM, and T?","""M"""
star_structure_048.graphml,"Which Club includes EARTH, MEMBERS, GANYMEDE, and MARS?","""MARTIAN-VENUSIAN CLUB"""
star_structure_040.graphml,"Which Mathematician is associated with ""POSSIBLE WORLD SEMANTICS,"" ""TO MOCK A MOCKINGBIRD,"" ""BELIEF SYSTEMS,"" and ""MATHEMATICS""?","""RAYMOND SMULLYAN"""
star_structure_044.graphml,"Which Concept is most closely associated with PHILOSOPHERS, ZENO'S PARADOXES, ZENO, and MATHEMATICAL LOGICIANS?","""INFINITE NUMBERS"""
star_structure_041.graphml,"Which Obstacle affects MEMBERS, particularly in the context of a MIXED COUPLE where GEORGE is involved as a SPOUSE?","""CHALLENGE"""
star_structure_010.graphml,"Which ""Mathematical Concept"" involves LINEAR TRANSFORMATION, NULL_SPACE, MATRIX, and EUCLIDEAN NORM?","""VECTOR"""
star_structure_003.graphml,"Which Equation is associated with the HERMITIAN MATRIX, the BAUER criterion, the HOUSEHOLDER AND BAUER METHOD, and the TRIDIAGONAL FORM?","""HESSENBERG FORM"""
star_structure_047.graphml,"Which Mathematical concept is related to the POINCARÉ-HOPF THEOREM, the HAIRY BALL THEOREM, the FIXED POINT, and the ZERO?","""VECTOR FIELD"""
star_structure_042.graphml,"Which Surface is associated with the TREFOIL KNOT, EULER NUMBER, GINGERBREAD MAN KNOT, and SQUARE KNOT?","""SEIFERT SURFACE"""
star_structure_030.graphml,"Which Mathematical Concept involves a SQUARE MATRIX, the interchange of adjacent numbers, an EQUATION, and the letter J?","""PERMUTATION"""
star_structure_032.graphml,Which Letter represents the determinant of a matrix S with respect to the eigenvalue K?,"""B"""
star_structure_031.graphml,Which Letter represents the CHARACTERISTIC EQUATION in the context of Δ(Λ) and the DETERMINANT B?,"""A"""
star_structure_037.graphml,"Which Variable is directly related to X, U(ENTITY, T, Λ)?","""X"""
star_structure_055.graphml,"Which Mathematical concept involves a smooth simple closed plane curve, turning tangents, angle excess, and the integral of the curvature?","""TOTAL CURVATURE"""
star_structure_054.graphml,"which Geometry includes CYLINDER, GAUSS, PLANE, and SPHERE?","""CURVATURE"""
star_structure_027.graphml,"Which Nautical term is represented by the terms SQUARE KNOT, CROSSING NUMBER, MÖBIUS BAND, and SEIFERT SURFACE?","""TREFOIL KNOT"""
star_structure_045.graphml,"Which Matrix has a determinant related to J, and is it a real or complex matrix, possibly involving MATRIX B?","""MATRIX A"""
star_structure_049.graphml,"Which Mathematician worked on Topology in Princeton, Germany, and Switzerland?","""HOPF"""
star_structure_043.graphml,"which Theorem is associated with SQUARE_MATRIX, ORTHOGONAL EIGENVECTORS, MODAL SYSTEM G, and FERGUSSON'S MACHINE?","""THEOREM 1"""
star_structure_016.graphml,"Which ""Assumption"" in combinatorial topology, related to the Euler number and Poincaré, was formulated in 1943?","""HAUPTVERMUTUNG"""
star_structure_028.graphml,"Which Knot is characterized by its SEIFERT SURFACE, being a TREFOIL KNOT, and having the property of ALTERNATING COLORABILITY?","""FIGURE EIGHT KNOT"""
star_structure_046.graphml,"Which Solution relates to the homogeneous equation, Theorem I, AX = B, and the problem?","""SOLUTION"""
star_structure_057.graphml,Which Cycle is associated with the PROJECTIVE PLANE and the BETTI NUMBER?,"""CYCLE _A_"""
star_structure_053.graphml,"Which Name is associated with ATHENS, MOUNT AETNA, and PLATO?","""DION"""
