file,query,answer
bridge_structure_021.graphml,"Which person's romantic involvement with Ann Rutledge profoundly impacted Lincoln, leading to extreme grief and distraction?","""ANN RUTLEDGE"""
bridge_structure_020.graphml,"Which person is related to Lincoln's grammar studies, wrestling approach, emotional depth, and romantic involvement with Ann Rutledge?","""LINCOLN"""
bridge_structure_008.graphml,"Which insights about Mary Todd Lincoln's eagerness to marry Abraham Lincoln does Browning provide, considering her feelings for him and her social circle, including Henry Clay?","""MARY TODD LINCOLN"""
bridge_structure_022.graphml,"Which person was Matilda Edwards, a rival in Mary Todd Lincoln's relationship with Abraham Lincoln, as described in her letter?","""MARY TODD LINCOLN"""
bridge_structure_012.graphml,"Which person resided in New Salem, engaged in various activities that shaped his early career, and participated in a wrestling match?","""LINCOLN"""
bridge_structure_013.graphml,"Which event was marked by Abraham Lincoln's presidency, the conflict over states' rights, and the central cause of slavery?","""CIVIL WAR"""
bridge_structure_009.graphml,"Which person provided assistance to Abraham Lincoln during a difficult time, collaborated with William Butler, and influenced Lincoln's actions in ending the relationship?","""JOSHUA SPEED"""
bridge_structure_003.graphml,"Which person's courtship strategy is discussed by Herndon, connecting them to Mary Todd and reflecting the speculation in Conkling's letter about her physical changes, which was part of the discussion regarding Abraham Lincoln's change of heart?","""MARY TODD"""
bridge_structure_016.graphml,"Which event involving Abraham Lincoln in New Salem, including the Indian hug wrestling hold, is highlighted as significant for his personal development and referenced by historical figures like Stuart, Nicolay, and Hay?","""WRESTLING MATCH"""
bridge_structure_002.graphml,"Which aspects of Lincoln's character, such as resilience in the face of personal abuse or adherence to the code of honor, were shaped by his experiences in Illinois and influenced his political confrontations, contrasting with the observations made by Stephen T. Logan about his vulnerability?","""LINCOLN"""
bridge_structure_018.graphml,"Which PERSON provided insights into Abraham Lincoln's courtship, historical documentation, and character through their professional partnership and personal association?","""HERNDON"""
bridge_structure_011.graphml,"Which person's time in New Salem, Illinois, was marked by his engagement in various pursuits such as studying law, developing reading habits, and benefiting the community with his canal proposal, reflecting his early political career and initial forays into public service?","""LINCOLN"""
bridge_structure_001.graphml,"Which person confronted Lincoln about his vote for the Internal Improvement Scheme, showing concern with the policy while also indicating a contrast between his political and legal personas, and who supported Lincoln in the Legal Case involving the Andersons?","""STEPHEN T. LOGAN"""
bridge_structure_042.graphml,"Which PERSON did Nita Colgate feel emotionally conflicted and jealous towards, while also harboring a romantic interest in Minty and sharing a significant experience with Fuzzy?","""NITA COLGATE"""
bridge_structure_041.graphml,"Which PERSON were both Nancy Hanks Lincoln and Jack Thomas connected to, and how did Herndon gather information about her?","""NANCY HANKS LINCOLN"""
bridge_structure_039.graphml,"Which organization benefited from women's public participation in politics, was supported by Abraham Lincoln in its campaigns, and published content in the Sangamo Journal?","""WHIGS"""
bridge_structure_029.graphml,"Which person did Stephen T. Logan describe as a close friend with a similar temperament, support in a legal case, and involvement in the Internal Improvement Scheme?","""STEPHEN T. LOGAN"""
bridge_structure_017.graphml,"Which person witnessed the relationship between Mary Owens and Lincoln, shared her story later, and had a close familial relationship with Mary Owens, all while the meeting took place in New Salem?","""MARY OWENS"""
bridge_structure_044.graphml,"Which Edie is characterized by her parents' wealth and financial access, her addiction to heroin, her connection with Saucie Sedgwick, and her treatment at Silver Hill?","""EDIE"""
bridge_structure_023.graphml,"Which ""GEO"" played a pivotal role in Abraham Lincoln's life, serving as his home during his political career and witnessing significant events like his law partnership and legislative activities, while also being influenced by figures such as the Internal Improvement Men and Ewing, and marked by political conflicts involving the Whigs?","""SPRINGFIELD"""
bridge_structure_040.graphml,Which PERSON was associated with Offutt's failing enterprises during the Black Hawk War and also known as Abe due to his laziness in farm work and reading habits?,"""LINCOLN"""
bridge_structure_047.graphml,"Which person sent fan letters to Truman Capote, was invited to do a radio interview at WBAI with Henry Geldzahler, and influenced the narrator and Chuck Wein?","""ANDY WARHOL"""
bridge_structure_028.graphml,"Which PERSON were closely associated with Lincoln, including William Butler, Jason Duncan, Joshua Speed, and Speed himself, reflecting both personal and social dimensions of Lincoln's life?","""LINCOLN"""
bridge_structure_036.graphml,"Which person's romantic relationship with Mary and emotional turmoil might have influenced Lincoln's mental breakdown, while also involving choices about relationship outcomes and shared historical significance with figures like Julia Jayne and events in Missouri?","""MARY"""
bridge_structure_007.graphml,"Which person played a significant role in Abraham Lincoln's legal education and political ambitions, and had a professional partnership with him in Springfield?","""JOHN T. STUART"""
bridge_structure_058.graphml,"Which Truman Capote, Andy Warhol, and Edie Sedgwick were involved in a complex web of relationships, including friendships, artistic collaborations, personal connections, and mutual influences?","""ANDY WARHOL"""
bridge_structure_027.graphml,"Which person was involved in a dispute with Abraham Lincoln that led to a potential duel, was a member of the Whig political party, and had their own terms for the duel?","""SHIELDS"""
bridge_structure_053.graphml,"Which person had a friendship with Andy Warhol characterized by fan letters, shared interests with Roy Lichtenstein as shown in a costume party, influenced by a narrator through communication, and had a significant interaction with Edie involving an introduction to Fuzzy Sedgwick and a professional relationship in films?","""ANDY WARHOL"""
bridge_structure_052.graphml,"Which person was involved in artistic engagement and creative expression, as indicated by sending illustrations to Truman Capote, and also had a close friendship with Henry Geldzahler, as evidenced by a radio interview at WBAI?","""ANDY WARHOL"""
bridge_structure_050.graphml,"Which ""PERSON"" shared a costume party experience with Roy Lichtenstein and expressed admiration through fan letters to Truman Capote?","""ANDY WARHOL"""
bridge_structure_045.graphml,"Which ORGANIZATION did John Crocker, as headmaster, influence in terms of policy on Negro students, and how did parental concerns, as seen in Francis Sedgwick's letters about Minty's experience, reflect the school's impact on students like Bobby and Minty?","""GROTON"""
bridge_structure_051.graphml,"Which person's pursuit of fame, significant conversations at the Brasserie, and influential relationship with Edie Sedgwick are central themes in the narrative?","""ANDY WARHOL"""
