file,query,answer
star_structure_007.graphml,"Which Political Party is associated with the Wisconsin Conservative Digest, Obamacare, the Trump Train, and Heritage Action?","""GOP"""
star_structure_002.graphml,Which Energy Industry in Alberta is most effective in reducing air pollution through carbon capture and storage while minimizing acid rain?,"""FOSSIL FUEL INDUSTRY"""
star_structure_017.graphml,"Which Person is associated with ANGLIN, ALT RIGHT, BREITBART, and LESLIE JONES?","""MILO YIANNOPOULOS"""
star_structure_014.graphml,"Which Country has experienced Dutch Disease, instability, corruption, and is associated with the London Club?","""RUSSIA"""
star_structure_023.graphml,"Which Name represents the ideals of SOCIAL ISSUE, VILLAGES OF UNITY AND COOPERATION, FREE LOVE, and NEW HARMONY?","""OWEN"""
star_structure_006.graphml,"Which Crime is most frequently reported in Russia, involving the United Russia Party, VTSIOM-A, and Echo of Moscow?","""CORRUPTION"""
star_structure_012.graphml,"Which Conservative talk show host has been criticized for appealing to low information voters and for his stance on the Fairness Doctrine, particularly in relation to the Flight 93 Election?","""RUSH LIMBAUGH"""
star_structure_001.graphml,"Which Government Benefits were provided to 300,000 widows, orphans, and other dependents, including Larry Dewitt, as 28 percent of all men age 65 and older during the Civil War era?","""CIVIL WAR PENSIONS"""
star_structure_015.graphml,Which Financial District was involved in the Wall Street Bailout and associated with figures like Dennis Kelleher and London Whale?,"""WALL STREET"""
star_structure_005.graphml,"Which Organization is most closely related to KREMLIN ADMINISTRATION, ARCHY, CULTURAL ELITES, and the SPREAD OF POVERTY?","""RUSSIAN SOCIETY"""
star_structure_020.graphml,"Which War involved issues of CIVIL WAR PENSIONS, the CONSTITUTION, SLAVERY, and figures like BOB MCDONNELL?","""CIVIL WAR"""
star_structure_011.graphml,"Which Director was associated with the TEA PARTY, AILES' POLITICAL AGENDA, FOX NEWS, and GLENN BECK?","""ROGER AILES"""
star_structure_008.graphml,"Which Political movement is most closely associated with FOX NEWS CHANNEL, ROGER AILES, SARAH PALIN, and the WALL STREET JOURNAL/NBC NEWS POLL?","""TEA PARTY"""
star_structure_003.graphml,"Which Tax is most prominently discussed by economists in relation to GHG emissions in British Columbia, similar to the Kyoto Protocol?","""CARBON TAX"""
star_structure_009.graphml,"Which Policy Initiative was proposed by House Republicans, including Tea Party Republicans, and supported by figures like John Boehner, often referred to as the ""Gang of Eight""?","""COMPREHENSIVE IMMIGRATION REFORM"""
star_structure_021.graphml,"Which Name is associated with MILO YIANNOPOULOS, DONALD TRUMP, DAILY STORMER, and TROLL ARMY?","""ANGLIN"""
star_structure_019.graphml,"Which Political Movement was associated with Robert Wagner, the New Deal, and Bronson Cutting?","""PROGRESSIVE MOVEMENT"""
star_structure_010.graphml,"Which ""作家"" was associated with the Kyoto Protocol, the Gomery Inquiry, the Clarity Act, and the Kyoto negotiations?","""CHRÉTIEN"""
star_structure_025.graphml,"Which ""Company"" was most affected by the sequester initiated by President Obama, in relation to the Congressional Budget Office's analysis and the impact of the Bush tax cuts?","""ATRA"""
star_structure_004.graphml,"Which Energy Efficiency strategies, including REGULATION AND PRICING POLICIES, RENEWABLE TECHNOLOGIES, ECONOMIC GROWTH, and ENERGY CONSERVATION, have the most significant impact on reducing overall energy consumption?","""ENERGY EFFICIENCY"""
star_structure_016.graphml,"Which Political ideology did GEORGE H. W. BUSH, BILL CLINTON, RICHARD NIXON, and WALLACE all represent?","""RIGHT-WING POPULISM"""
star_structure_024.graphml,"Which President was responsible for the BORDER PATROL reform, the TAX RELIEF, UNEMPLOYMENT INSURANCE REAUTHORIZATION AND JOB CREATION ACT, and worked closely with CONGRESS and HICKS?","""OBAMA"""
star_structure_013.graphml,"Which Economic Policy has most significantly influenced the development of BANK ACCOUNTS, BUSINESS OLIGARCHY, and the lives of Russians since the POST-COMMUNIST DEVELOPMENT?","""PRIVATIZATION"""
star_structure_018.graphml,"Which U.S. Senator was RON JOHNSON, known for his opposition to OBAMACARE and involvement during the GOVERNMENT SHUTDOWN (2013), and who worked with BOB VANDER PLAATS?","""TED CRUZ"""
star_structure_040.graphml,"Which President was featured in The Daily Beast alongside figures like King David, Falwell, and evangelicals?","""TRUMP"""
star_structure_022.graphml,"Which Political Group was most directly involved in the SUPER COMMITTEE REPORT, SEQUESTRATION, COMPREHENSIVE IMMIGRATION REFORM, and GOVERNMENT SHUTDOWN?","""TEA PARTY REPUBLICANS"""
star_structure_038.graphml,"Which Country is associated with the Kyoto Protocol and is recognized by the CIA, involving REHMAN?","""UNITED STATES"""
star_structure_033.graphml,"Which Political ideology includes figures like Babeuf, the Kibbutz Movement, Engels, and Marx?","""SOCIALISM"""
star_structure_035.graphml,"Which Project involves CIMS, INTERNATIONAL PERMITS, AUTOMOBILE INDUSTRY, and BUSINESS-AS-USUAL TOTAL?","""PROJECT GREEN"""
star_structure_037.graphml,"Which Politician was associated with MOUNT KILIMANJARO, the PREVENTIVE DETENTION LAW, CIVIL SERVICE AFRICANIZATION, and APARTHEID?","""NYERERE"""
star_structure_036.graphml,"Which President was associated with Walt Whitman, the Union, a totalitarian regime, and Henry Clay?","""ABRAHAM LINCOLN"""
star_structure_028.graphml,"Which Person was associated with KOLKHOZ, KOMSOMOL, STALIN, and the GULAG?","""MIKHAIL"""
star_structure_026.graphml,"Which Industrialist played a significant role in the U.S. House of Representatives and Europe, similar to WILLIAM and OWEN?","""ROBERT DALE OWEN"""
star_structure_034.graphml,"Which Presidential Residence has been frequently mentioned in discussions related to ABC RADIO NEWS, the PUBLIC OPTION, BAUCUS, and the NATIONAL JOURNAL?","""WHITE HOUSE"""
star_structure_039.graphml,"Which ""Political Party"" is associated with UHURU, the Arusha Principles, and Francis Nyalali?","""TANU"""
star_structure_030.graphml,"Which Elections were associated with Johnson's Russia List, Stalin, Bashirov and Partners, and VTSIOM?","""POLLS"""
star_structure_042.graphml,"Which Country is associated with MWALIMU NYERERE, CURRENCY COPS, LABOR UNIONS, and DEO?","""TANZANIA"""
star_structure_027.graphml,"Which Event was attended by MICHAEL ANTON, involved in an ELECTION, held at the CLAREMONT INSTITUTE, and related to DONALD TRUMP?","""FLIGHT 93 ELECTION"""
star_structure_041.graphml,"Which Financial Institution was associated with Robert S. McNamara during his tenure in the Russian Federation, possibly influenced by Nyerere's policies?","""WORLD BANK"""
star_structure_031.graphml,"Which Prime Minister was associated with the INDEPENDENT LABOUR PARTY (ILP), WORLD WAR I, DYSENTERY, and the NATIONAL COMMITTEE FOR THE PREVENTION OF DESTITUTION?","""CLEM ATTLEE"""
star_structure_029.graphml,"Which Dictator was associated with the NATIONAL SOCIALIST PARTY, FASCISM, MEIN KAMPF, and SOCIAL DARWINISM?","""HITLER"""
star_structure_043.graphml,"Which President was associated with the BLACK PROBLEM, CONSPIRACY THEORIES, HHS, and the BUDGET CONTROL ACT OF 2011?","""PRESIDENT OBAMA"""
star_structure_032.graphml,"Which Think Tank was associated with JIM DEMINT, RONALD REAGAN, the MANDATE FOR LEADERSHIP, and the TEA PARTY?","""HERITAGE FOUNDATION"""
star_structure_050.graphml,"Which Document did Hamilton argue in the Tenth Amendment case before the Supreme Court, reflecting on populism?","""CONSTITUTION"""
star_structure_052.graphml,"Which politician was involved in comprehensive immigration reform, the government shutdown of 2013, and had a contentious relationship with the House Republicans?","""JOHN BOEHNER"""
star_structure_045.graphml,"Which Government Organization was involved in the Fourteenth and Fifteenth Amendments, particularly concerning CHAMBERLAIN and MACDONALD?","""NATIONAL GOVERNMENT"""
star_structure_055.graphml,"Which Political Party supported the Kyoto Protocol and emission reduction initiatives, and is associated with the campaign ""Stand Up for Canada""?","""CONSERVATIVE PARTY"""
