file,query,answer
star_structure_100.graphml,"Which Tip involves the whispered_upgrade technique, the front desk agent, Edie Sedgwick, and money?","""TIP"""
star_structure_107.graphml,"Which Nationality was David Ben-Gurion associated with in the context of the Partition Plan and the role of the Zionists, where Adams was also involved?","""BRITISH"""
star_structure_116.graphml,"Which Author wrote a book featuring Wrestling, Ann Rutledge, and was inspired by Abraham Lincoln?","""JAMES SHORT"""
star_structure_106.graphml,"Which Name is associated with MARGOULEFF'S, INJECTION, TRUST-FUND CHECKS, and GROTON?","""EDITH"""
star_structure_102.graphml,"Which Name is associated with ELSA, SCHIAPARELLI, BORDEAUX, and EDOUARD?","""WILLIE"""
star_structure_114.graphml,"Which Event was directly related to STUART, GREENE, ABRAHAM LINCOLN, and JACK ARMSTRONG?","""THE WRESTLING MATCH"""
star_structure_108.graphml,"Which Name is among GUESTS, KAYLA, DANTE, and TOMMY?","""TREY"""
star_structure_111.graphml,"Which Location is associated with LINCOLN, RANDALL, and MARY TODD (ENTITY)?","""HERNDON"""
star_structure_119.graphml,Which First Lady was the wife of Abraham Lincoln?,"""MARY TODD LINCOLN"""
star_structure_104.graphml,"Which ""Entity"" is most closely related to BEN-GURION'S LEGACY, SEASONS, BRADENTON, and HORTENSE MACDONALD?","""(""ENTITY"""
star_structure_105.graphml,"Which Event is directly related to STUART, NEW SALEM, WILLIAM G. GREENE, and BEARDSTOWN?","""WRESTLING MATCH"""
star_structure_101.graphml,"Which ""Name"" is associated with SCHIAPARELLI, a WALL STREET BROKER from CONNECTICUT COUNTRYSIDE, and FREDERICK K. DEAN?","""ELSA"""
star_structure_113.graphml,Which Name is associated with the wrestling match involving LINCOLN and HOLLAND?,"""STUART"""
star_structure_118.graphml,"Which Person is associated with John McNeil, Abraham Lincoln, and Camp Meeting in Herndon?","""ANN RUTLEDGE"""
star_structure_117.graphml,"Which Location is most suitable for Tourists, Subway users, Service Industry Employees, and New York residents?","""MIDTOWN"""
star_structure_115.graphml,"Which People are associated with Bellevue, Union, Hotel 1984, and Hotel?","""EMPLOYEES"""
star_structure_122.graphml,"Which City is associated with FRANCIS ARENZ, a wrestling match,林肯, and syphilis?","""BEARDSTOWN"""
star_structure_109.graphml,"Which Event was closely related to CAMPAIGNING, INTERNAL IMPROVEMENT, NATIONAL BANK, and the ILLINOIS AND MICHIGAN CANAL?","""CAMPAIGN"""
star_structure_121.graphml,"Which Name is associated with the HR DEPARTMENT and involves GRIZZLY, BEN, and TOM?","""JAY"""
star_structure_112.graphml,"Which Physician is Mrs. Sedgwick married to, who is also known as Edie and related to Michael Post?","""DR. MERCER"""
star_structure_099.graphml,"Which Baseball player is mentioned in the context of Bellevue, Cash, the Narrator, and New York City?","""BELLMEN"""
star_structure_123.graphml,"Which Author was associated with LINCOLN, the NEW SALEM CLUB, MENTOR GRAHAM, and HERNDON?","""R. B. RUTLEDGE"""
star_structure_125.graphml,"Which Art Movement is associated with Andy Warhol, Bill De Kooning, and Mike Goldberg?","""ABSTRACT EXPRESSIONIST GROUP"""
star_structure_098.graphml,"Which Family does BROTHER ALFRED, NARRATOR, DR. JOHN MILLET, and EDIE belong to?","""FAMILY"""
star_structure_135.graphml,"Which Name is associated with the German Guest at the Hotel, specifically related to EL SALVAJE?","""JULIO"""
star_structure_129.graphml,Which President was involved in The Match and a wrestling match at Clary's Grove Boys Armstrong?,"""LINCOLN"""
star_structure_126.graphml,"Which City was the focus of the WHIGS' opposition during the LINCOLN-led LEGISLATIVE SESSION 1836-37, particularly concerning the INTERNAL IMPROVEMENT MEN's proposals?","""SPRINGFIELD"""
star_structure_132.graphml,Which First Lady was married to Abraham Lincoln and lived in the White House with her husband's death?,"""NANCY HANKS LINCOLN"""
star_structure_140.graphml,"Which Park are NARRATOR, MR. BLANCHARD, GUESTS, and MINTY SEDGWICK associated with?","""CENTRAL PARK"""
star_structure_141.graphml,"Which ""Person"" is associated with BRAVES, Milwaukee, Mobile, and Ruby E. Lucas?","""BARBARA AARON"""
star_structure_133.graphml,"Which Name is associated with GROTON, SYDNEY J. FREEDBERG, RANDY REDFIELD, and GEORGE PLIMPTON?","""BOBBY"""
star_structure_128.graphml,"Which Event is directly related to ENMITY, INITIATION RITE, ARMSTRONG, and HENRY CLARK?","""THE MATCH"""
star_structure_103.graphml,"Which Country is associated with the UNION JACK, BEN-GURION, and RUDOLF KASTNER, particularly in relation to the ARAB ARMIES?","""TRANSJORDAN"""
