file,query,answer
star_structure_001.graphml,Which Location is SFO?,"""GEO"""
star_structure_002.graphml,"Which Meeting is related to NDUINI, NJAMA, IRUMU, and SUBMISSION?","""COUNCIL OF WAR"""
star_structure_023.graphml,Which Ethnic Group is most affected by Drought in the region?,"""EUROPEANS"""
star_structure_018.graphml,"[API调用失败] Error code: 400, with error text {""contentFilter"":[{""level"":1,""role"":""assistant""}],""error"":{""code"":""1301"",""message"":""系统检测到输入或生成内容可能包含不安全或敏感内容，请您避免输入易产生敏感内容的提示语，感谢您的配合。""}}","""MASTER"""
star_structure_003.graphml,"Which Organization is associated with ERIK, DIVIDEND, BERLIN, and KROGH?","""A.C.U."""
star_structure_022.graphml,"Which Person is directly related to WASH, MASTER, MASTER ERASMUS, and GAIUS?","""TITCH"""
star_structure_025.graphml,"Which Person served in the Royal Navy and was associated with Titch, Virginia, and the Indies?","""MISTER THEO"""
star_structure_007.graphml,"Which ""vegetable"" is associated with MUSIRIGO, a serious incident, stone, and land?","""KARANJA"""
star_structure_009.graphml,"Which Conflict involves BROKEN PROMISES, SPRING, WASERU, and NDOLIA?","""DISPUTE"""
star_structure_016.graphml,"Which continent involves farming practices, overseers, land, and circumcision?","""EUROPEAN"""
star_structure_010.graphml,"Which Overseer is Mary, Karioki, European, or Master?","""OVERSEER"""
star_structure_014.graphml,"Which Vegetable is associated with MASAI, NARARIGA, NAIVASHA, and WANJA?","""KARANJA"""
star_structure_017.graphml,"Which Company is associated with MASTER, GEORGE WASHINGTON BLACK, RICHARD BLACK, and SHE?","""FAITH PLANTATION"""
star_structure_015.graphml,"Which Vehicle was associated with BENEDIKT KINAST, TITCH, and the STORM?","""SHIP"""
star_structure_020.graphml,"Which Writer wrote ""Nine Wasted Slaves"" and included a character named Titch?","""ERASMUS WILDE"""
star_structure_019.graphml,"Which Brand is associated with NARRATOR, CHRISTOPHER, WASH, and MASTER?","""BIG KIT"""
star_structure_004.graphml,"Which Crime is most closely associated with MISTER WILDE, MEXICO, and HEIDELBERG in GERMANY?","""FRAUD"""
star_structure_024.graphml,"Which Name is associated with MISSION, MATU, EUROPEAN, and SHAMBA?","""KALEO"""
star_structure_012.graphml,"Which Person is associated with MISSIONARIES, RERI, PERSON, and ELDERs?","""SERKALI"""
star_structure_005.graphml,"Which City is associated with KIKUYU FOOD, CLUB, KAGAMA'S ELDEST SON, and KARANJA?","""NAIROBI"""
star_structure_013.graphml,"Which Person is associated with SCANDINAVIAN AIR EXPRESS, KROGH, OFFICIAL, and BAGATELLE?","""FRED HALL"""
star_structure_021.graphml,"Which Captain was the SHIP'S SURGEON and had a brother named TITCH, Christopher Wilde?","""CAPTAIN BENEDIKT"""
star_structure_011.graphml,Which Escape sequence is used by the Narrator to describe the RUNAWAY SLAVES in the context of TITCH and BIG KIT?,"""ESCAPE"""
star_structure_006.graphml,"Which Character is associated with I, NARRATOR, ERASMUS, and ENGLISH CUISINE?","""MISTER TITCH"""
star_structure_028.graphml,"Which Company is associated with BWANA, CATTLE, SERKALI, and European Law?","""MARAFU"""
star_structure_027.graphml,"Which Male parent does the NARRATOR mention in their research about Tanna, specifically regarding Vivian Hatcher?","""FATHER"""
star_structure_030.graphml,"Which Medical field employs MATU, WANJA, KARANJA, and KIKUYU ATTENDANTS?","""EUROPEAN MEDICINE"""
star_structure_038.graphml,"Which Last Name is European, KARIOKI, KARANJA, or KAVANJA?","""ROBINSON"""
star_structure_039.graphml,"Which Name is directly related to TITCH, WASH, EXECUTION, and SPEAKER?","""WILLARD"""
star_structure_035.graphml,"Which Abolitionist Movement was closely related to MASTER, EMANCIPATION IN THE INDIES, OVERSEERS, and ESTHER?","""SLAVERY"""
star_structure_026.graphml,"Which Hymn features MISTER BENEDIKT, TITCH, SUGAR AND TOBACCO, and ATLANTIC TRADE?","""AVE MARIA"""
star_structure_031.graphml,"Which Person is associated with EUROPEAN FARMS, ELBURGON, KARANJA, and MATU?","""KARIOKI"""
star_structure_047.graphml,"Which Card game involves PUFFIN TRAVERS, FARRANT, ANTHONY, and KROGH?","""POKER GAME"""
star_structure_032.graphml,"Which Person is featured in the REWARD ADVERTISEMENT along with ERASMUS WILDE and GEORGE WASHINGTON BLACK, as described by the NARRATOR?","""JOHN FRANCIS WILLARD"""
star_structure_008.graphml,"Which Person is associated with EUROPEAN MEDICINE, MATU, EUROPEAN FUGITIVE, and MIDWIVES?","""WANJA"""
star_structure_046.graphml,"Which Person experiences SEASON, BILE, TOOTHACHE, and ALTITUDE SICKNESS?","""TITCH"""
star_structure_037.graphml,"Which People were enslaved and worked on PLANTATIONs, particularly FAITH PLANTATION, by the MASTERS?","""SLAVES"""
star_structure_044.graphml,"Which Mission are associated with EUROPEAN MISSIONARIES, KARANJA, KALEO, and KARIOKI?","""MISSION"""
star_structure_040.graphml,"Which Minister is associated with HUMAN ARM, EDGAR, CELLAR, and MISTER WILDE?","""SEXTON"""
star_structure_041.graphml,"Which Narrator is associated with the concepts of SEARCH, FREEDOM, MISTER WILDE, and ERASMUS WILDE?","""THE NARRATOR"""
star_structure_048.graphml,"Which Actor is associated with FUTURE, GRAVE, THE NARRATOR, and TITCH?","""MISTER EDGAR"""
star_structure_033.graphml,"Which Airline involves MASTER, NAWI, RITUALS, and TITCH?","""KIT"""
star_structure_029.graphml,"Which capital punishment involves characters like the Narrator, Willard, the Preacher, and the Hangman?","""EXECUTION"""
star_structure_049.graphml,"[API调用失败] Error code: 400, with error text {""contentFilter"":[{""level"":1,""role"":""assistant""}],""error"":{""code"":""1301"",""message"":""系统检测到输入或生成内容可能包含不安全或敏感内容，请您避免输入易产生敏感内容的提示语，感谢您的配合。""}}","""THE MASTER"""
star_structure_050.graphml,"Which Hotel did the young man, Anthony, meet the proprietor's sister at in Karanja?","""HOTEL"""
star_structure_051.graphml,"Which Program is directly related to SLAVES, MISTER PHILIP, DEATH, and MONTAGU HOUSE?","""ERASMUS"""
star_structure_036.graphml,"[API调用失败] Error code: 400, with error text {""contentFilter"":[{""level"":1,""role"":""assistant""}],""error"":{""code"":""1301"",""message"":""系统检测到输入或生成内容可能包含不安全或敏感内容，请您避免输入易产生敏感内容的提示语，感谢您的配合。""}}","""FAITH"""
star_structure_042.graphml,"which Agricultural enterprise is most closely related to WASH, I, SLAVES, and BLACK?","""PLANTATION"""
star_structure_045.graphml,"Which Person was an ABOLITIONIST, associated with the FAITH PLANTATION, and known as FAITH, often referred to as BIG KIT?","""GEORGE WASHINGTON BLACK"""
star_structure_043.graphml,"Which Negative behavior is most prominently associated with ADAM, STAVROGIN, KIRILLOV, and COSIMO?","""SUICIDE"""
star_structure_053.graphml,"Which Mountain is associated with WASH, the Nine Wasted Slaves, Titch, and Christopher?","""CORVUS PEAK"""
star_structure_060.graphml,"Which City is known for its Warriors, Rituals, Charm, and the Council of War?","""IRUMU"""
star_structure_058.graphml,"Which Fruit is associated with WANJERI, BRIDE-PRICE, WASERU, and GOAT SACRIFICE?","""MAHENIA"""
star_structure_059.graphml,"Which Beverage is associated with CULTURAL PRACTICE, MUNDU-M (ENTITY, NDOLIA, MARRIAGE PROPOSAL)?","""BEER"""
star_structure_056.graphml,"Which Proper Noun refers to a compound name composed of ""MEN"" and ""KARUE"" with ""MATU"" as its suffix?","""THINGIRA"""
star_structure_061.graphml,"Which Captain is most associated with insurance, salvage, the Magnolia Lion, and whaling?","""CAPTAIN HOLLOWAY"""
