file,query,answer
star_structure_005.graphml,"Which Music involves BACK PHRASING, DRAMATIC ANALYSIS, CHARACTER, and LYRICS?","""SONG"""
star_structure_003.graphml,Which Musician is known for their past performance as a Hip-Hop Astrologist and is celebrated for their brains?,"""MC"""
star_structure_019.graphml,"Which Music features a loop and lyrics, often associated with the genre of HIP-HOP SONG?","""BEAT"""
star_structure_006.graphml,"Which Magic was influenced by R.A. THE RUGGED MAN, Vinnie Paz, esoteric themes, and the Vietnam War?","""JEDI MIND TRICKS"""
star_structure_008.graphml,"Which Bar is associated with Jack DeJohnette, Dave Holland, Bill Evans, and John Surman?","""RONNIE SCOTT'S"""
star_structure_010.graphml,Which Music Royalty Organization handles royalties for artists like Irving Berlin and distributes payments to radio networks?,"""ASCAP"""
star_structure_025.graphml,"Which Music Genre features syncopation, is associated with West 38th Street, and includes improvisation by Azizo?","""LIVERY STABLE BLUES"""
star_structure_016.graphml,"Which Tall person uses a great sound system, writing process, voice recorder, and often sweats?","""ROYCE DA 5'9"""
star_structure_004.graphml,"Which Music genre is associated with Q-TIP, X CLAN, RHYTHM, and LIVE PERFORMANCE?","""HIP-HOP"""
star_structure_020.graphml,"Which Singer is known for Freestyling and Memorizing Lyrics, similar to Eminem and Stat Quo?","""BOBBY CREEKWATER"""
star_structure_011.graphml,Which Singer performed at Newport Folk World alongside Johnny Cash and Joan Baez?,"""BOB DYLAN"""
star_structure_009.graphml,Which Athlete played in the Emergency! movie and is also known for his work with Tony Williams?,"""TONY WILLIAMS LIFETIME"""
star_structure_001.graphml,"Which Musician is known for WRITTEN RHYTHMS, MUSIC THEATER, SONG, and DRAGGING?","""SINGER"""
star_structure_022.graphml,"Which Bishop is known for his work in DEL THE FUNKY HOMOSAPIEN, ZUMBI, ZION I, RAPPING, and WRITING PROCESS?","""BISHOP LAMONT"""
star_structure_015.graphml,"Which Electronic device are associated with artists like ROYCE DA 5'9, CROOKED I, R.A. THE RUGGED MAN, and MC SHAN?","""VOICE RECORDER"""
star_structure_021.graphml,"Which ""NAME"" involves WRITING IN HEAD, MUSIC CREATION, EDITING LYRICS, and CROWD ENGAGEMENT?","""HELL RELL"""
star_structure_013.graphml,"Which Musical composition has been most influential for EMINEM, PHAROAHE MONCH, JOHN COLTRANE, and SLICK RICK?","""MELODY"""
star_structure_002.graphml,"Which Company is associated with RAKIM, GUIDE VOCALS, INSANE IN THE BRAIN, and CYPRESS HILL?","""B-REAL"""
star_structure_023.graphml,"Which Esotericism involves techniques like FLOW DIAGRAM, ROCKING THE CROWD, HIP-HOP, and JEDI MIND TRICKS?","""ESOTERIC"""
star_structure_012.graphml,Which Musicians played at the Lighthouse in Hermosa Beach and were associated with the Los Angeles Police Department?,"""BLACK MUSICIANS"""
star_structure_024.graphml,"Which Music Production companies are associated with artists like WISE INTELLIGENT, HELL RELL, DJ QUIK, and 2MEX?","""MUSIC CREATION"""
star_structure_007.graphml,"Which Health indicator is most relevant to MELOTONE MUSIC INCORPORATED, _MEET_THE_ARTIST_, ROYALTIES, and BMI_DEFECTORS?","""BMI"""
star_structure_018.graphml,"Which Music genre is most closely associated with artists like 2MEX, THE VISIONARIES, TECH N9NE, POETRY, and the Gift of Gab of Blackalicious?","""RAP"""
star_structure_014.graphml,"Which Muscle is primarily responsible for controlling TIMBRE, PITCH, and FUNDAMENTAL FREQUENCY during VOICE PRODUCTION?","""VOCAL CORDS"""
star_structure_030.graphml,"Which Mental Ability is related to PUNCH-(""ENTITY"", ""BLACKALICIOUS"", ""(""ENTITY"", ""MATCHING RHYTHM PATTERN"")?","""GIFT OF GAB"""
star_structure_034.graphml,"Which Dictionary is associated with SHOCK G, TERMANOLOGY, DIGITAL UNDERGROUND, and WILDCHILD?","""RHYMING DICTIONARY"""
star_structure_035.graphml,"Which Music includes HIP-HOP MC, BROTHER ALI, MELLE MEL, and 2PAC SHAKUR?","""REAL-LIFE LYRICS"""
star_structure_031.graphml,"Which Pattern is most similar to TECH N9NE, EMINEM, GIFT OF GAB, and BUSTA RHYME?","""MATCHING RHYTHM PATTERN"""
star_structure_032.graphml,"Which Rapper is known for his intrinsic rhyming style and random arrangement, often associated with RAP and KOOL G RAP?","""BIG DADDY KANE"""
star_structure_033.graphml,"Which ""Person"" is associated with RANDOM ARRANGEMENT, DE LA SOUL, PUNCH-INS, and MELODY?","""PHAROAHE MONCH"""
star_structure_042.graphml,"Which Character is associated with R.A. THE RUGGED MAN, the Voice Recorder, the Beastie Boys, and assonance?","""R.A. THE RUGGED MAN"""
star_structure_043.graphml,"Which Musician is associated with WU-TANG, HIP-HOP, PHAROAHE MONCH, and KURTIS BLOW?","""DE LA SOUL"""
star_structure_027.graphml,"Which Musical term is associated with LIVERY STABLE BLUES, SAAFIR, DIGITAL UNDERGROUND, and JAZZ?","""SYNCOPATION"""
star_structure_026.graphml,"Which Band was associated with JAZZ in NEW YORK, recorded for the COLUMBIA GRAPHOPHONE COMPANY and VICTOR?","""DIXIELAND JASS BAND"""
star_structure_037.graphml,"Which ""Philosophical Concept"" is most closely related to BROTHER ALI, SUBSTANCE, HIP-HOP, and WISE INTELLIGENT?","""CONSCIOUS CONTENT"""
star_structure_028.graphml,"Which Symptom is directly related to WEINRICH, DONAHUE, LEBORGNE, and SYSTEMIC HYDRATION?","""LARYNGEAL DRYNESS"""
star_structure_044.graphml,"Which Location is related to the numbers 16, 24, 108, and 32?","""BARS"""
star_structure_029.graphml,"Which Activity is most closely related to DELLGER, SIGHT READING, MUSIC THEATER, and CASTING DIRECTOR?","""AUDITIONING"""
star_structure_039.graphml,"Which Writing Process has been notably influential for artists like SHOCK G, DIGITAL UNDERGROUND, ROYCE DA 5'9, and BISHOP LAMONT?","""WRITING PROCESS"""
star_structure_041.graphml,"Which poem form is commonly associated with artists like EMINEM, PLANET ASIA, and LL COOL J in their tracks?","""RHYME"""
star_structure_045.graphml,"Which Clichés are associated with ONYX, DAVID BANNER, FREDRO STARR, and THE PHARCYDE?","""CLICHED RHYMES"""
star_structure_040.graphml,"Which Music genre includes artists like HAMPTONS, BIG DADDY KANE, and FLARE GUN, known for the 16-bar verse structure?","""KOOL G RAP"""
star_structure_036.graphml,"Which Scientist is associated with CLICHED RHYMES, BIG DADDY KANE, G RAP, and KRS-ONE?","""DAVID BANNER"""
star_structure_046.graphml,"Which Band includes COUPLET, MELLE MEL, R.A. THE RUGGED MAN, and SHADRACH?","""BEASTIE BOYS"""
star_structure_049.graphml,"Which Theater genre features SINGERS and PERFORMANCE, often associated with composers like JASON ROBERT BROWN and Stephen Schwartz?","""MUSICAL THEATER"""
star_structure_047.graphml,"Which Singer is known for Rhyming Words, Short-Term Collaborations, and working with Salt-N-Pepa, often associated with the English School?","""RAH DIGGA"""
star_structure_038.graphml,"Which Brand is most associated with HIP-HOP CULTURE, RAKIM, LL COOL J, and KRS-ONE?","""MC'S"""
star_structure_050.graphml,"Which Verses contain the RHYME, CHORUS, LYRICS, and contributions from the MC?","""VERSES"""
star_structure_017.graphml,"Which Car is known for its connection to HUMOR, FREESTYLING, HUMOROUS LYRICS, and FREESTYLE FELLOWSHIP?","""MYKA 9"""
star_structure_048.graphml,"Which Composer excels in MUSICIANSHIP SKILLS, is known for ROCK AND POP STYLE COMPOSERS, and has worked in MUSICAL THEATER, like Robert Jason Brown?","""STEPHEN SONDHEIM"""
star_structure_062.graphml,"Which Musician is known for incorporating elements of African melody into his work, like Miles Davis?","""JOHN COLTRANE"""
star_structure_051.graphml,"Which Novel is known for its DJ Premier's beat selection, guide vocals, and freestyling?","""THE LADY OF RAGE"""
star_structure_063.graphml,"Which Organ is directly related to the PALATE, HYOID BONE, and SPEECH?","""LARYNX"""
star_structure_069.graphml,"Which Concert featured MURS with a focus on BREATH CONTROL, attracting a HIP-HOP crowd?","""LIVE PERFORMANCE"""
star_structure_074.graphml,Which Education Benefit Program is most relevant to veterans in suburban communities near Los Angeles?,"""G.I. BILL"""
star_structure_052.graphml,"Which Computer hardware component is related to BELT VOICE, HEAD REGISTER, MUSIC THEATER, and WICKED?","""MIX REGISTER"""
star_structure_058.graphml,"Which Speech involves the VOCAL TRACT, VOWELS, LARYNX, and ARTICULATION?","""SPEECH"""
star_structure_064.graphml,"Which Person is associated with MAN, SOMA, DANNY KALB, and Newport Concerts?","""SEEGER"""
star_structure_059.graphml,"Which Vocal Cords can be affected by alcohol, environmental irritants, medications, or caffeine?","""VOCAL FOLDS"""
star_structure_053.graphml,"Which Process involves AUDIO EDITING, STUDIO ENVIRONMENT, DAVID BANNER, and AZ?","""RECORDING PROCESS"""
star_structure_056.graphml,"Which Timekeeping system is associated with PHAROAHE MONCH, SLICK RICK, TAJAI, and GORILLA ZOE?","""PUNCH-INS"""
star_structure_055.graphml,"Which Event involved ROBERT MARKS, MUSIC CUTS, MUSICAL THEATER, and a CASTING DIRECTOR?","""AUDITION"""
star_structure_071.graphml,"Which Theater is known for MALE VOICE, Goldberg, auditioning, and legit performances?","""MUSIC THEATER"""
star_structure_057.graphml,"Which Theater genre includes VARIETY SHOW, NEW YORKERS, BROADWAY, and OLIVIER BASSELIN?","""VAUDEVILLE"""
star_structure_068.graphml,"Which Music genre was associated with the CIVIL RIGHTS MOVEMENT, ROCK, DIXIELAND JASS BAND, and the MIDDLE EAST?","""JAZZ"""
star_structure_061.graphml,"Which Action involves the manipulation of the SINGER'S FORMANT, K-OS, FORMANTS, and VOCAL TRACT?","""SINGING"""
star_structure_065.graphml,"Which ""Entity"" is associated with SMITH AND LITTON, BOOTH, DYLAN, and GIFT OF GAB?","""(""ENTITY"""
star_structure_054.graphml,"Which Music genre emphasizes VOCAL POWER ACADEMY, VOCAL TECHNIQUE, MUSIC THEATER, and ETHEL MERMAN?","""MIX/BELT SINGING"""
star_structure_060.graphml,"Which Social Movement was significantly influenced by Black activists during the Mississippi Summer of 1964, incorporating elements of jazz and folk music into its cultural expression?","""CIVIL RIGHTS MOVEMENT"""
star_structure_067.graphml,"Which Music genre includes works by FREEDOM SINGERS, SEEGER'S VISION, Newport Festival, and Hootenanny?","""FOLK MUSIC"""
star_structure_070.graphml,"Which Music Genre is associated with California, Los Angeles, and the Lighthouse in Hermosa Beach, often linked to the bebop era?","""WEST COAST JAZZ"""
star_structure_073.graphml,"Which Acronym is associated with the TAFT-HARTLEY LABOR RELATIONS ACT, the MUSIC PERFORMANCE TRUST FUND, ASCAP, and RADIO NETWORKS?","""AFM"""
star_structure_075.graphml,"Which Music Instruction involves AUDITION, PRACTICE SESSIONS, SINGING TEACHERS, and COMPOSERS?","""VOICE LESSONS"""
star_structure_082.graphml,Which Album best showcases Hoagy Carmichael Estate's equity workshop and musicianship skills?,"""THE STARDUST ROAD"""
star_structure_072.graphml,"Which Vocal Health products or techniques, such as DECAFFEINATED TEA, RESONANCE, MIX/BELT REGISTER, and HUMIDFLYER, are most effective for maintaining vocal health?","""VOCAL HEALTH"""
star_structure_077.graphml,"Which Physician excels in MUSICIANSHIP SKILLS, CONDUCTOR, MUSIC THEATER, and works in the PUBLIC DOMAIN?","""DR. BEVERLY PATTON"""
star_structure_076.graphml,Which Scientist has musicanship skills and competed in the Wordy Music contest at Notre Dame de Namur University?,"""D. LOCKERT"""
star_structure_079.graphml,"Which Person is both a Composer and Lyricist, possibly including Harry Connick Jr. or D. Lockert?","""CONTESTANT"""
star_structure_083.graphml,"Which Music genre includes JESSE, DOC WATSON, ROSCOE HOLCOMB, and APPALACHIAN DULCIMER?","""FRIENDS OF OLD TIME MUSIC"""
star_structure_080.graphml,"Which Speech technique is often used by singers to enhance their vocal line and musical tension, similar to how it is applied in songs?","""BACK PHRASING"""
star_structure_078.graphml,"Which Music Skills are emphasized in the COLLEGIATE MUSICIANSHIP TEACHING MODEL developed by D. Lockert, Stephen Sondheim, and Joe Dellger?","""MUSICIANSHIP SKILLS"""
star_structure_081.graphml,"Which ""Musical Instrument"" is commonly associated with a ""Singer,"" a ""Musical Score,"" a ""PIT ORCHESTRA,"" and performed by ""Dr. Beverly Patton""?","""CONDUCTOR"""
