file,query,answer
star_structure_001.graphml,"Which StateAbbr is related to the Governor of New York, the Panama Canal, the Vice President, and San Juan Hill?","""TR"""
star_structure_008.graphml,"Which Writer was associated with New York, Madison Square Garden, and the Native American Ring?","""MABEL DODGE"""
star_structure_003.graphml,"Which Chemist is associated with REASSEMBLING THE SOCIAL, ANT, DELILLO, and SUPERMARKET?","""LATOUR"""
star_structure_006.graphml,"Which Music is associated with 135TH STREET LIBRARY, GWENDOLYN BENNETT, W.E.B. DUBOIS, and HUBERT HARRISON?","""NIGGER HEAVEN"""
star_structure_005.graphml,"Which Poet wrote ""The Weary Blues"" and was associated with VAN VECHTEN and THE KNOPFS?","""LANGSTON HUGHES"""
star_structure_021.graphml,"Which Political Document addresses issues related to NATURAL, PSYCHOLOGICAL, MATERIAL, and ECONOMIC factors?","""STATE OF AFFAIRS"""
star_structure_007.graphml,"Which Name is most closely associated with the JEEP, the health care system, DORA, and contemporary America?","""JACK"""
star_structure_010.graphml,"Which neighborhood was associated with NEGRO AMERICANS, VAN VECHTEN, and the PSYCHIATRIC CLINIC, given their Southern background?","""HARLEM"""
star_structure_020.graphml,"which Events are most closely related to KNOPF, AVERY HOPWOOD, VAN VECHTEN, and NEW YORK CITY?","""PARTIES"""
star_structure_024.graphml,"Which News Media have been significantly influenced by PETER JENNINGS, HOLMSTEDT, EDWARD R. MURROW, and WALTER CRONKITE?","""JOURNALISM"""
star_structure_013.graphml,"Which Art is most frequently associated with investment, the MOTT auction house, Melanie Gerlis, and the broader art market?","""ART"""
star_structure_011.graphml,"Which Archaeological Site is associated with Ernst Bloch, American terror-attacks, Smithson, and Pynchon?","""RUINS"""
star_structure_017.graphml,"Which Computer Programming Language is associated with CHARLES, VAN VECHTEN, PUBLIC REPUTATION, and the NARRATOR?","""ADA"""
star_structure_022.graphml,"Which Computer component is related to X-RAY, MOTT, ONE WRITER'S BEGINNINGS, and MEMORY TEST?","""MEMORY"""
star_structure_004.graphml,Which Novel did William S. Burroughs write that is related to the concept of a SOCIAL NETWORK and the term GARBAGE ARCHAEOLOGIST?,"""NAKED LUNCH"""
star_structure_009.graphml,"Which Color is associated with DEBUSSY, VAN VECHTEN, FIRE IN THE FLINT, and the NAACP?","""WHITE"""
star_structure_014.graphml,"which Film Industry did Carl Van Vechten, Marinoff, Scott Fitzgerald, and Lois Moran work in?","""HOLLYWOOD"""
star_structure_027.graphml,"Which Actress was featured in Picture-Show directed by Van Vechten and known for her role in Companionate Arrangements, often associated with the New Woman?","""FANIA MARINOFF"""
star_structure_015.graphml,"Which Country was associated with WORLD WAR II, ĦAĠAR QIM, the KNIGHTS OF ST. JOHN, and PYNCHON?","""MALTA"""
star_structure_028.graphml,"Which Research methodology involves ARCHIVES, RESEARCH PLAN, WRITING, and FACT-CHECKING?","""CREATIVE RESEARCH"""
star_structure_023.graphml,"Which Event involves CREATIVE RESEARCH, IRONING BOARD SAM, SKYPE, and E-MAIL?","""INTERVIEW"""
star_structure_016.graphml,"Which City is associated with Van Vechten, The Dial, Jane Addams, and the University of Chicago?","""CHICAGO"""
star_structure_025.graphml,"Which Art Gallery hosted the exhibition featuring works by GLAFIRA ROSALES, Julian Weissman, and Pierre Lagrange in 2013?","""KNOEDLER GALLERY"""
star_structure_032.graphml,"Which Hero is associated with FEDERAL NUT HOUSE, WASTE MATTER, NEW ORGANISM, and COMMODITIES?","""VIGILANTE"""
star_structure_018.graphml,"which John Chamberlain is associated with MISS LUCY PINK, SWANNANOA, FRIED, and JUDD?","""JOHN CHAMBERLAIN"""
