file,query,answer
bridge_structure_015.graphml,"Which CATEGORY includes Probability Theory, Statistical Analysis, Simulation, and Standard Deviation?","""PROBABILITY THEORY"""
bridge_structure_008.graphml,"Which CONCEPT is used to describe the outcomes and likelihood in a probability experiment, represented by random variables and associated with a probability distribution?","""RANDOM VARIABLE"""
bridge_structure_013.graphml,Which CONCEPT is characterized by the mean and standard deviation in probability theory and can be simulated using methods like the Urn Model?,"""PROBABILITY DISTRIBUTION"""
bridge_structure_001.graphml,"Which event involves a fair coin, binomial model, random variable, and mean in probability theory?","""COIN FLIP"""
bridge_structure_004.graphml,"Which method can be used to estimate unbiased estimates, related to confidence intervals and standard errors in statistical analysis?","""BOOTSTRAP"""
bridge_structure_006.graphml,"Which CONCEPT is a type of probability distribution used to calculate probabilities in experiments like coin flips, characterized by variance and related to the geometric distribution as a generalization?","""BINOMIAL DISTRIBUTION"""
bridge_structure_007.graphml,"Which event relies on random number generators, probability theory, probability distributions, and simulated datasets for its execution?","""SIMULATION"""
bridge_structure_003.graphml,"Which concept is a specific type of distribution relationship involving the Standard Normal Distribution, the t-distribution, degrees of freedom, and population mean, particularly relevant in hypothesis testing and statistical approximation?","""NORMAL DISTRIBUTION"""
bridge_structure_011.graphml,"Which author of ""ForsythProbability and Statistics for Computer Science"" is affiliated with the University of Illinois at Urbana-Champaign?","""DAVID FORSYTH"""
bridge_structure_005.graphml,"Which method is used to estimate the population mean, sample mean, standard error, and construct confidence intervals for CEO salaries?","""BOOTSTRAP"""
bridge_structure_012.graphml,"Which CONCEPT is directly related to the STANDARD DECK OF PLAYING CARDS and contributes to the understanding of probability theory, especially in the context of probability calculation and binomial trials involving the number of tickets sold, t?","""PROBABILITY"""
bridge_structure_014.graphml,"Which category includes Statistics, Probability Distribution, and the Weak Law of Large Numbers, all of which are foundational to probability theory and its applications in analyzing random phenomena?","""PROBABILITY THEORY"""
bridge_structure_009.graphml,"Which CONCEPT is calculated using the sum of squared differences from the mean, related to variance and standard deviation, and often used to measure the spread of values in a probability distribution, such as the variance of the standard normal distribution?","""VARIANCE"""
bridge_structure_002.graphml,Which CONCEPT is a factor in the overbooking calculation involving the number of tickets sold for the flight and is related to the probability of outcomes in a random variable?,"""PROBABILITY"""
bridge_structure_010.graphml,"Which CONCEPT is a statistical measure used to compare central tendency and detect skewness in data, often serving as an alternative to the mean in summarizing net worth or illustrating expected value in probability distributions?","""MEAN"""
bridge_structure_016.graphml,Which category is exemplified by the coin flip and is foundational to understanding probability distributions and the Weak Law of Large Numbers?,"""PROBABILITY THEORY"""
bridge_structure_017.graphml,"Which CATEGORY involves statistics, random variables, simulation, and standard deviation in probability theory?","""PROBABILITY THEORY"""
bridge_structure_021.graphml,"Which CATEGORY involves data points used in statistical analysis, scatter plots, K-means clustering, and linear function fitting?","""DATA POINTS"""
