file,query,answer
star_structure_001.graphml,Which Name is related to TREES?,"""LEAH"""
star_structure_009.graphml,"Which Police Officer is ENGDAHL, Bobby Cole, Locket, or Nathan Drum?","""OFFICER DOYLE"""
star_structure_005.graphml,"Which family member do you live with in New Bremen, Frank, Ariel, or your grandfather?","""MY MOTHER"""
star_structure_003.graphml,"Which Family includes BELLA, SERVICE, my grandfather, and ARIEL?","""MY PARENTS"""
star_structure_007.graphml,"Which Strength is associated with PRAYER, BELLA, NATALIE, and FORGIVENESS?","""STRENGTH"""
star_structure_006.graphml,"Which Practice is associated with MASKED CIRCLE, VIRGINITY, COLLEGE, and NATALIE?","""RITUAL"""
star_structure_004.graphml,"Which Person is Royce King the Second, Royce, Carlisle Cullen, or Edward?","""ROSALIE HALE"""
star_structure_002.graphml,"Which Name is most commonly associated with the given options: BELLA, PHOENIX, VICTORIA, RILEY?","""JAMES"""
star_structure_008.graphml,"Which Supernatural beings are related to Seattle, Alice, the Volturi, and Edward?","""NEWBORN VAMPIRES"""
star_structure_017.graphml,"Which Service is related to ARIEL, my father, my mother, and Mrs. Cole?","""FUNERAL SERVICE"""
star_structure_014.graphml,"Which Name is associated with BRANDTS, RUTH, SIDE DOOR, and GARAGE WALL?","""NATHAN"""
star_structure_020.graphml,which Deity is the mother of Nathan and the son of my entity?,"""GOD"""
star_structure_013.graphml,Which Name is given to both MY MOTHER and MOTHER?,"""FRANKIE"""
star_structure_021.graphml,"Which Native American tribe is associated with TAHA AKI, EPHRAIM BLACK, HOHS, and the Cold Ones?","""QUILEUTES"""
star_structure_010.graphml,"Which Person are you referring to when you mention GRAIN ELEVATOR, HOUSE, MY FATHER, or GRAIN ELEVATORS?","""AVIS SWEENEY"""
star_structure_016.graphml,"Which Narrator is associated with LISER BRANDT, BRANDT HOUSE, PSYCHIC, and WEEDS?","""NARRATOR"""
star_structure_012.graphml,Which Service did Lorraine Griswold attend with the choir and congregation in the morning?,"""SERVICE"""
star_structure_015.graphml,"Which Name is directly related to JULIA BRANDT, FRANK, EMIL BRANDT, and WALK?","""RUTH"""
star_structure_024.graphml,"Which Drugstore is known for GUS, MEN WITH THE LOOK OF MURDER IN THEIR EYES, FRANKIE, and REDSTONE?","""HALDERSON'S DRUGSTORE"""
star_structure_026.graphml,"Which Image depicts MARY, JOHNNY, WORLD WAR II, and the INDIAN?","""PHOTOGRAPH"""
star_structure_027.graphml,"Which Name is related to SAM, JACOB, PACK, and SETH CLEARWATER?","""BELLA"""
star_structure_019.graphml,"Which Church group is associated with THADDEUS PORTER and Frank, particularly in the context of the ENTITY and SERVICE?","""CONGREGATION"""
star_structure_011.graphml,"Which Person are you referring to: AVIS SWEENEY, JERRY STOWE, your father, or JAKE?","""EDNA SWEENEY"""
star_structure_025.graphml,"Which Nationality is Skipper associated with, as seen at HALDERSON'S DRUGSTORE and the TRESTLE, possibly interacting with Ariel?","""INDIAN"""
star_structure_032.graphml,which Human is Natalie's father who wrote a poem about the garden?,"""THE MAN"""
star_structure_042.graphml,Which Person is GUS?,"""LISE BRANDT"""
star_structure_037.graphml,"Which Name is associated with MRS. KLEMENT, THE CHOIR, SHIFT, and NATHAN?","""AMELIA"""
star_structure_029.graphml,Which Teacher has been actively involved in the Choir service led by Nathan and Mr. Klement?,"""MRS. KLEMENT"""
star_structure_039.graphml,"Which Person is associated with Harelip, stutter, wild as an Indian, and Karl Brandt?","""JULIA BRANDT"""
star_structure_033.graphml,"Which Person is mentioned in relation to PRAYER, NATHAN, FATHER, and MEMOIR?","""BRANDT"""
star_structure_031.graphml,"Which Name is associated with FRANK DRUM, SKIPPER, and UNCLE?","""DANNY"""
star_structure_035.graphml,"Which Sheriff was involved in ARIEL'S DISAPPEARANCE and the investigation at the CEMETERY, possibly related to KARL BRANDT?","""SHERIFF GREGOR"""
star_structure_036.graphml,"Which ""Person"" is from New Bremen, Minnesota River Valley, and is related to Frank and Ruth?","""EMIL BRANDT"""
star_structure_030.graphml,"Which Musician performed at Tyler Street in NEW BREMEN and was associated with the UNIVERSITY OF MINNESOTA, possibly relating to the GREAT SIOUX UPRISING?","""DANNY O'KEEFE"""
star_structure_043.graphml,"Which Villains are ARO, ALICE, THE PACK, and JANE?","""THE VOLTURI"""
star_structure_034.graphml,"Which Company is associated with FLOWER BED, ARIEL, FIREMEN, and CROWBAR?","""LISE"""
star_structure_023.graphml,"Which ""UTLAPA"" doesn't correspond to a common English entity type or category, especially in relation to ""SPIRITUAL PRACTICES,"" ""TAHA AKI,"" ""SPIRIT WORLD,"" and ""SOCIAL NORMS""? If you meant a different term or have additional context, please provide more details.","""UTLAPA"""
star_structure_047.graphml,"Which King is associated with a cocktail, emergency, Natalie, and garden sprays?","""ARTHUR"""
star_structure_044.graphml,"Which Writer is associated with FIRE, GIN, NATALIE, and ARTHUR LANGDON?","""ELIZABETH LANGDON"""
star_structure_041.graphml,"Which Person are you referring to when you mention THREE WOMEN, NETTIE, JASPER WHITLOCK, or JASPER?","""MARIA"""
star_structure_049.graphml,"Which Name is associated with DOOR, BEDTIME, BROTHER, and NATALIE WAITE?","""ELIZABETH"""
star_structure_045.graphml,"Which Person is known for their bloodthirsty vengeance among PETER, MARIA, and ALICE?","""JASPER WHITLOCK"""
star_structure_048.graphml,"Which ""Object"" is directly related to the NARRATOR, NANCY, ELIZABETH, and BELLA?","""DOOR"""
star_structure_040.graphml,"Which Park is associated with PARADE, EDNA SWEENEY, PICNIC, and GEO?","""LUTHER PARK"""
star_structure_056.graphml,"Which Infants are Bella, Edward, Seattle, and the Volturi?","""NEWBORNS"""
star_structure_052.graphml,"Which Educational Institution is associated with Faculty, Ritual, a Beggar, and Elizabeth?","""COLLEGE"""
star_structure_055.graphml,"Which Educational Institution are SUMI, KADE, NANCY, and BELLA associated with?","""SCHOOL"""
star_structure_058.graphml,"Which Person attended the Funeral with my Mother, the Narrator, and my Grandfather?","""LIZ"""
star_structure_051.graphml,"Which Time period is associated with DAD, SERVICE, NATALIE, and BREAKFAST?","""MORNING"""
star_structure_057.graphml,"Which family member usually does the YARD WORK according to the NARRATOR, my parents or my mother?","""MY GRANDFATHER"""
star_structure_050.graphml,"Which Arthur Langdon is related to ELIZABETH LANGDON, MARTINIS, and the office?","""ARTHUR LANGDON"""
star_structure_054.graphml,"Which Company is related to NATALIE, ELIZABETH, BALL GLOVE, and FATHER?","""BROTHER"""
star_structure_059.graphml,"Which Fireworks include M-80S, DOYLE, GUS, and I?","""FIREWORKS"""
star_structure_022.graphml,"Which Person is associated with SPIRIT WARRIORS, YUT, SPIRITUAL PRACTICES, and the SPIRIT WORLD?","""TAHA AKI"""
star_structure_028.graphml,"Which Name is associated with TOWN, FRANKIE, UNCLE EMIL, and DRUM?","""KARL"""
star_structure_046.graphml,"Which Family is most associated with BREAKFAST, TELEVISION RECEPTION, DRIVE-IN THEATER, and ""HAVE GUN—WILL TRAVEL""?","""FAMILY"""
star_structure_053.graphml,"Which Group is most likely to experience ANSWER, DISCOMFORT, EMBARRASSMENT, and CONFORMITY?","""GIRLS"""
star_structure_061.graphml,Which Business magnate was the father of Frank and the sheriff of Drum?,"""WARREN REDSTONE"""
star_structure_066.graphml,Which Name is associated with the cocktail created by Arthur Langdon and Natalie Waite?,"""VICKI"""
star_structure_038.graphml,"Which Chancellor was directly related to JAKE, MOTHER, MR. DRUM, and SENIOR FROLICS?","""KARL BRANDT"""
star_structure_064.graphml,"Which Class is associated with WILLIAM JAMES, MR. DESMOND, DEWEY, and BISHOP?","""PHILOSOPHY CLASS"""
star_structure_071.graphml,Which Name is ARTHUR?,"""ELIZABETH"""
star_structure_067.graphml,"Which ""Person"" is associated with ARTHUR LANGDON, a cocktail, a college, and a mother?","""ANNE"""
star_structure_063.graphml,"Which Family is involved in the speculation, as narrated by the lawyer about Harelip?","""BRANDT FAMILY"""
star_structure_062.graphml,"Which Name is associated with FATHER, Lise Brandt, Emil, and Axel?","""AXEL"""
star_structure_065.graphml,"Which Alphabet is related to TONY, DANNY, NATALIE, and UNCLE?","""LETTER"""
star_structure_074.graphml,"Which Concept are most closely related to NATHAN, NATALIE, JACOB, and GIRLS?","""FRIENDSHIP"""
star_structure_060.graphml,"Which Person is associated with OFFICER DOYLE, the DRUM FAMILY, SUNDAY, and the BATTLE OF THE BULGE?","""NATHAN DRUM"""
star_structure_073.graphml,"Which People are involved in PUBLIC PERFORMANCE, ROSALIND, BELLA, and NATALIE?","""CROWD"""
star_structure_070.graphml,"Which Beverage is preferred by ARTHUR, ELIZABETH, MRS. WAITE, and ANNE?","""COCKTAIL"""
