file,query,answer
bridge_structure_007.graphml,"Which organ is associated with Temporal Lobe ADD, head injury impact, Depakote treatment, and SPECT study for diagnosis?","""TEMPORAL LOBE"""
bridge_structure_017.graphml,Which person was prescribed Adderall and Prozac for their ADD and depression?,"""CELINA"""
bridge_structure_006.graphml,"Which PERSON was prescribed Prozac and Adderall to manage depression and ADD symptoms, and underwent a SPECT study to understand her brain activity?","""CELINA"""
bridge_structure_015.graphml,Which person has been prescribed both Adderall and Prozac for conditions related to ADD and depression?,"""CELINA"""
bridge_structure_011.graphml,"Which MEDICAL_PERSON applied his research on ADD at Fort Irwin using biofeedback and SPECT, correlating EEG findings with Sally's study and contributing to the understanding of ADD treatment?","""DR. LUBAR"""
bridge_structure_014.graphml,"Which person uses stimulants like nicotine and caffeine to self-medicate for ADD, potentially contributing to negative health consequences?","""DAVID"""
bridge_structure_004.graphml,"Which person was prescribed Celexa and diagnosed with ADD, and also treated with DL-phenylalanine and L-tyrosine?","""CHARITY"""
bridge_structure_010.graphml,"Which person was prescribed Adderall and Prozac, and had a SPECT study to understand their brain activity related to ADD and depression?","""CELINA"""
bridge_structure_002.graphml,"Which person is more likely to experience issues with punctuality and academic challenges due to ADD, affecting their ability to get up on time and attend school regularly?","""PEOPLE WITH ADD"""
bridge_structure_016.graphml,"Which PERSON led Celina to accept medication treatment after her SPECT study, and was prescribed Adderall for ADD?","""CELINA"""
bridge_structure_003.graphml,"Which PERSON's mother works to provide financial security and health insurance crucial for Kitty's medical care, experiences emotional distress at Thanksgiving dinner due to Anorexia, receives potential treatment with medicine, and has caring parents concerned about her health and well-being?","""KITTY"""
bridge_structure_013.graphml,"Which medical condition is commonly associated with head trauma, affecting the brain's functioning and potentially leading to symptoms similar to ADD, which can be detected through SPECT imaging?","""HEAD TRAUMA"""
bridge_structure_012.graphml,"Which PERSON was diagnosed with ADD and had SPECT results indicating overactivity in the Anterior Cingulate Gyrus, leading to the addition of Prozac to his treatment regimen?","""SAMUEL"""
bridge_structure_008.graphml,"Which PERSON was prescribed Depakote and Adderall as part of his treatment regimen, alongside undergoing a SPECT study to monitor his brain activity?","""RONNY"""
bridge_structure_018.graphml,"Which Celina is influenced by ADD, has a SPECT study, and is prescribed Adderall?","""CELINA"""
bridge_structure_019.graphml,Which PERSON was prescribed Adderall and Prozac as part of her treatment for ADD and depression?,"""CELINA"""
bridge_structure_001.graphml,"Which child experiences emotional dependence on their parents, leading to repressed feelings, and how does their relationship with their mother and challenges like ADD influence their school life and ability to overcome fears?","""CHILD"""
bridge_structure_031.graphml,"Which medical condition is influenced by cultural factors, character, psychoanalysis, and anxiety?","""NEUROSIS"""
bridge_structure_023.graphml,"Which disease is explored in ""The Golden Cage,"" affecting families and mental health, and categorized under eating disorders?","""ANOREXIA"""
bridge_structure_028.graphml,"Which MEDICAL_CONDITION is explored by Freud as a key theme in his theories, often triggered by acute hostile impulses and affecting patients with neurosis?","""ANXIETY"""
bridge_structure_026.graphml,Which PERSON is discouraged from fasting during Yom Kippur due to anorexia?,"""KITTY"""
