file,query,answer
star_structure_010.graphml,"Which ""Organization"" most effectively addresses the social isolation of homeless people, with particular attention to the perspectives of Democrats and Republicans?","""MPFC"""
star_structure_013.graphml,"which Self-Observation involves examining COMPASSION, INNER MOTIVATIONS, THOUGHTS, and FEELINGS?","""SELF-OBSERVATION"""
star_structure_003.graphml,"Which Economics addresses the impacts of GLOBAL CLIMATE CHANGE, TERRORISM, SUBTLE PRODUCTS, and ECONOMIC MELTDOWNS?","""ECONOMICS OF CONSCIOUSNESS"""
star_structure_004.graphml,"Which Individuals with ADHD often struggle with finding summer jobs, managing the effects of medicine, dealing with caffeine, and experiencing tardiness?","""PEOPLE WITH ADD"""
star_structure_002.graphml,"Which Mental Health Condition is often associated with suffering, analysis, self-contempt, and neuroses?","""NEUROTIC SUFFERING"""
star_structure_005.graphml,"Which Name is associated with UNITY CONSCIOUSNESS, the Bhagavad Gita, Sattva, and Michelangelo?","""JANE"""
star_structure_020.graphml,Which Legal proceeding is most relevant to understanding the emotional impact of divorce on children and how to help them thrive?,"""DIVORCE"""
star_structure_001.graphml,"which Medium is most closely related to PSYCHIC, HUMAN BRAIN, SUBTERRANEAN BRAINPOWER, and BRAIN CAPACITY?","""URI GELLER"""
star_structure_008.graphml,"Which Research explores the connection between BODY LANGUAGE and the work of SIR ISAAC NEWTON, particularly within the context of VANDELL and GRADUATE SCHOOL?","""RESEARCH"""
star_structure_006.graphml,"Which Country is known for its BILL OF RIGHTS, DEMOCRACY, CAPITALISM, and U.S. CONSTITUTION?","""UNITED STATES OF AMERICA"""
star_structure_016.graphml,"Which Physics field involves UNCONSCIOUS PROCESSING, FREE POT, NONLOCAL COMMUNICATION, and SCIENCE WITHIN CONSCIOUSNESS?","""QUANTUM PHYSICS"""
star_structure_024.graphml,"Which Name is most closely related to COMMITMENTS, VISION, COACHING RELATIONSHIP, and PHYSICAL HEALTH?","""THOMAS"""
star_structure_018.graphml,"Which Philosophical concept encompasses the interplay between EGO, HUMILITY, and QUANTUM MODALITIES, particularly in relation to the QUANTUM SELF?","""SELF-REALIZATION"""
star_structure_025.graphml,"Which Archetypes are most closely associated with self-discovery, creative exploration, and creativity as described by Carl Jung?","""ARCHETYPES"""
star_structure_007.graphml,Which Self-hypnosis technique involves post-hypnotic suggestion and is often recommended by psychiatrists for sleep control therapy to address ego-related issues?,"""SELF-HYPNOSIS"""
star_structure_015.graphml,"Which Name is associated with SPECT STUDY, DEPAKOTE, ADDERALL, and MOOD?","""RONNY"""
star_structure_011.graphml,"Which Name is related to L-TYROSINE, PROZAC, DL-PHENYLALANINE, and ZOLOFT?","""BARRY"""
star_structure_023.graphml,"Which Creative Process is exemplified by KALIDASA, CALDER, BURNING QUESTIONS, and GERTRUDE STEIN?","""CREATIVE PROCESS"""
star_structure_009.graphml,"Which Students are most affected by INTRINSIC MOTIVATORS, the CURSE OF KNOWLEDGE, SOFTWARE PIRACY, and PERFORMANCE APPRAISAL?","""MBA STUDENTS"""
star_structure_014.graphml,"Which Legal term is associated with George Bernard Shaw, Debbie Lovett, and the concept of speech, often linked to the term ""SIXTH SENSE""?","""JUDGMENT"""
star_structure_012.graphml,"Which Psychologist conducted the BOBO DOLL EXPERIMENT, analyzed DORA, and contributed to the field of PSYCHOLOGY with the concept of CREATIVE MOT?","""SIGMUND FREUD"""
star_structure_021.graphml,Which Procedure is most commonly used in ULTRASOUND TECHNOLOGY for infanticide in INDIA compared to SOUTH KOREA?,"""SEX-SELECTIVE ABORTION"""
star_structure_017.graphml,Which Philosophical concept is exemplified by the experiences of CONDITIONING among RESTAURANTS EMPLOYEES and how does it relate to the insights of WILLIAM JAMES in the context of living with COLLEGE ROOMMATES?,"""FREE WILL"""
star_structure_034.graphml,"Which Affection is most strongly associated with CHILDREN's NEED FOR REASSURANCE, as opposed to CONTEMPT, and often linked to POSITIVE EXPERIENCES?","""LOVE"""
star_structure_027.graphml,Which Survey shows a greater divide between conservative and liberal politicians regarding wealth inequality?,"""SURVEY"""
star_structure_029.graphml,"Which Negative thoughts are characterized by ALWAYS THINKING, FOCUSING ON THE NEGATIVE, ALL OR NOTHING THINKING, and changes in BRAIN ACTIVITY?","""NEGATIVE THOUGHTS"""
star_structure_045.graphml,"Which Person is the mother of Kitty, me, and P(Entity)?","""JAMIE"""
star_structure_026.graphml,"Which Journal published articles by SLOAN, W., BURNS, R. C., JOLLES, I., and SWENSON JR, C. H.?","""JOURNAL OF CLINICAL PSYCHOLOGY"""
star_structure_028.graphml,"Which Name is associated with SPECT, ADD, SPECT STUDY, and PROZAC?","""CELINA"""
star_structure_032.graphml,"Which Psychologist is most associated with NEUROSES, MELANCHOLIA, LIFE INSTINCT, and WISH FULFILLMENT?","""FREUD"""
star_structure_046.graphml,"Which Name is associated with EMPATHY, FEETALIMIA, THE HAPPY ENDING, and the SUPPORT SYSTEM?","""EMMA"""
star_structure_047.graphml,"Which Medical Condition is commonly associated with Kitty, where doctors recommend taking five to live light?","""OBESITY"""
star_structure_036.graphml,Which Parent did Laura do sit-ups in the bathroom for the NEW YORK TIMES article?,"""MOTHER"""
star_structure_019.graphml,"Which Physics field is most closely related to ENTANGLEMENT, the AUTHOR of wave function theory, and wave-particle duality?","""QUANTUM MECHANICS"""
star_structure_043.graphml,"Which Person is most closely related to POINTS, SCHOOL RESOURCES, HOSTILITY, and SCHOOL COUNSELOR?","""CHILD"""
star_structure_022.graphml,"Which Concept is most closely related to the creative evolution of consciousness, divergent thinking, the do-be-do-be-do mantra, and environmental degradation?","""QUANTUM CREATIVITY"""
star_structure_033.graphml,"Which Philosophy best explains the TANGLED-HIERARCHICAL SYSTEM OF THE BRAIN, the relationship with EXTERNAL OBJECT, and the balance between WORK AND RELAXATION, especially in the context of INTIMATE RELATIONSHIP?","""QUANTUM CONSCIOUSNESS"""
star_structure_041.graphml,"Which Addition involves the LEFT PREFRONTAL CORTEX, Jared, Thomas, and intense aerobic exercise?","""ADD"""
star_structure_039.graphml,"Which Emergency Department handles cases involving BRAIN IMAGING, NEUROLOGY, KITTY, and JACK?","""EMERGENCY ROOM"""
star_structure_030.graphml,"Which Mental Disorder is characterized by pleasurable tastes, disrupted eating habits, responsive to family-based treatment, and altered neurological responses?","""ANOREXIA"""
star_structure_035.graphml,"Which Nerve tissue is involved in regulating appetite, the reactive brain, the amygdala, and sleep?","""HYPOTHALAMUS"""
star_structure_038.graphml,"Which Disorder is associated with Jenny McCarthy, Pivotal Response Training (PRT), and Applied Behavior Analysis (ABA), and how are vaccines linked to it?","""AUTISM"""
star_structure_031.graphml,"Which Social psychology concept is most closely related to Humility, as discussed by Stanley Fish and Michael Rubens, and how does it connect to mindfulness?","""SOCIAL PERCEPTION"""
star_structure_050.graphml,"Which Medication is associated with JENNA, RONNY, CHRIS, and BRIAN?","""ADDERALL"""
star_structure_048.graphml,"Which Mental Health Disorder was the subject of a study by George Still in the Journal of the American Medical Association, particularly concerning the use of Ritalin in the United States?","""ATTENTION DEFICIT DISORDER (ADD)"
star_structure_040.graphml,"Which Narrator is most relevant to SUPPORT SYSTEM, TARGET WEIGHT, RELIGIOUS OBSERVANCE, and MOTHER?","""NARRATOR"""
star_structure_051.graphml,"Which Government Organization was involved in the 1994 Study, which included PET, ADD, and Mark George?","""NATIONAL INSTITUTES OF HEALTH"""
star_structure_042.graphml,"Which ""Organization"" is directly related to PAXIL, ADD, REWARD CENTERS, and L-TYROSINE?","""CHARITY"""
star_structure_044.graphml,"Which Physician treats Anorexia, is mentioned by the Narrator, and is associated with Kitty and Fluoxetine?","""DR. BETH"""
star_structure_049.graphml,Which Medication is commonly prescribed for Attention Deficit Disorder (ADD) and has been associated with cases like Justine and Jenna?,"""RITALIN"""
star_structure_067.graphml,Which Coaching helps businesses with ADD and Thomas change their habits?,"""COACHING"""
star_structure_037.graphml,"Which Mental health condition is often associated with MATERIALIST WORLDVIEW, PSYCHIATRIC ILLNESS, INOSITOL, and Myth #31?","""DEPRESSION"""
star_structure_065.graphml,"Which Medicine is most commonly associated with KITTY, internet chat rooms, brain-imaging, and ADD?","""MEDICATION"""
star_structure_057.graphml,"Which Positive Experience can be characterized by its DURATION, NEURAL TRACES, DESIRES, and GOOD FACT?","""POSITIVE EXPERIENCE"""
star_structure_052.graphml,"Which Medications are commonly prescribed for Attention Deficit Disorder (ADD) and ADHD, as recommended by Joseph Biederman and the American Academy of Pediatrics?","""STIMULANT MEDICATIONS"""
star_structure_059.graphml,Which Person was associated with the NECK PROBLEM during the CNN coverage of the 2008 U.S. PRESIDENTIAL ELECTION and FOX NEWS?,"""ASHLEY TODD"""
star_structure_064.graphml,"Which Disorder is associated with high consumption of SUCROSE, behavioral interventions, quickly moving on from good experiences, and altered DOPAMINE RECEPTORS?","""ADHD"""
star_structure_054.graphml,"Which Philosophical concept is represented by the UROBOROS, SELF-REALIZATION, CALDER, and ATMAN?","""QUANTUM SELF"""
star_structure_074.graphml,Which Education best supports teenagers in developing self-care skills and leveraging neuroplasticity in the temporal lobes?,"""LEARNING"""
star_structure_056.graphml,Which Social Phenomenon involves Sixth Graders engaging in Mind Reading during Hide-and-Seek Social Interaction?,"""SOCIAL INTERACTION"""
