file,query,answer
bridge_structure_015.graphml,"Which person did Hess have a close relationship with, considering their authority and alliance within the Nazi Party?","""HITLER"""
bridge_structure_011.graphml,"Which Winifred Wagner had a close relationship with Hitler, actively supported his cause, and sent him care packages during his imprisonment?","""HITLER"""
bridge_structure_013.graphml,"Which person had a close relationship with Winifred Wagner and actively supported Hitler's cause, including sending care packages while he was imprisoned?","""HITLER"""
bridge_structure_010.graphml,"Which person were associated with the Ghazis, the Caliph, India, and the Ghaznavid Dynasty during Mahmud's military campaigns?","""MAHMUD"""
bridge_structure_014.graphml,"Which person protested the conditions of Hitler's imprisonment while highlighting the disparity, had a close relationship with Winifred Wagner who supported him, and served as the Reich Chancellor under the Nazi regime?","""HITLER"""
bridge_structure_004.graphml,"Which organization gained support during the Great Depression by presenting itself as a solution to Germany's economic problems, formed its security service from dissolved militias, and included key figures like Goebbels and the SS as members involved in political maneuvering and activities?","""NSDAP"""
bridge_structure_001.graphml,"Which organization was founded and led by Adolf Hitler, known for its rise to power during the Weimar Republic, characterized by anti-Semitic policies, and holding significant events at the Hofbräuhaus in Munich?","""NSDAP"""
bridge_structure_006.graphml,"Which ORGANIZATION established the Nazi regime in Germany, expanded its base in Munich, and was significantly influenced by the Hofbräuhaus while consolidating power with the Reich government?","""NSDAP"""
bridge_structure_012.graphml,"Which organization was covered in the reports of the Otis elevator test at the Eiffel Tower, the World's Fair, royal visits, and the Shah's attempt to ascend the Eiffel Tower by Le Figaro de la Tour?","""LE FIGARO DE LA TOUR"""
bridge_structure_003.graphml,"Which organization was founded by Adolf Hitler and led by figures like Joseph Goebbels, known for its anti-Semitic policies and significant influence during the Weimar Republic?","""NSDAP"""
bridge_structure_005.graphml,"Which organization was formed from members of the dissolved Bavarian citizen militias to support the security needs of the Nazi Party, and how did its founder and leader, Adolf Hitler, contribute to the rise and dominance of the National Socialist German Workers' Party (NSDAP) during the Weimar Republic?","""NSDAP"""
bridge_structure_007.graphml,"Which organization was formed from members of the dissolved Bavarian citizen militias to support the security needs of the Nazi Party, which was led by Adolf Hitler and played a significant role in the collapse of the Weimar Republic, and was also involved in power struggles and political activities alongside the SS, with events like Hitler's speech at the Hofbräuhaus contributing to its visibility and influence?","""NSDAP"""
bridge_structure_025.graphml,"Which person played a significant role in the persecution of Jews during the Nazi regime, especially in Berlin, and how did their actions impact the relationship between Jewish and Arab communities?","""JEWS"""
bridge_structure_030.graphml,"Which ""GEO"" is associated with the World's Fair in Paris, the Seine River, the Eiffel Tower, and Café Brébant?","""PARIS"""
bridge_structure_028.graphml,"Which ""GEO"" was the focus of political negotiations and international attention during the Berlin Olympics?","""BERLIN"""
bridge_structure_024.graphml,"Which event involved the Nazi regime, Simon and Eden, Hitler, and Britain in diplomatic negotiations and protests?","""DIPLOMATIC NEGOTIATIONS"""
bridge_structure_033.graphml,"Which ""GEO"" is associated with Buffalo Bill's time in Paris, Vincent's artistic environment, and the World's Fair, reflecting geographical locations and cultural representations?","""PARIS"""
bridge_structure_027.graphml,"Which Wild West event featured Demimonde contributing to entertainment and social context, and involved Annie Oakley's performance and association with Colonel Cody?","""WILD WEST"""
bridge_structure_009.graphml,"Which organization did Hitler aim to expand its base to become a significant political force in Munich and beyond, with founders like Anton Drexler and later supported by the Reich government's power consolidation through the Law Prohibiting the Reconstitution of the Parties?","""NSDAP"""
