file,query,answer
bridge_structure_014.graphml,"Which PERSON embodies the themes of trust, friendship, and cultural considerations in the narrative?","""KARANJA"""
bridge_structure_007.graphml,Which PERSON does Matej share personal history with under the olive tree while referencing Leo Strauss's philosophy and engaging in a complex relationship with the narrator?,"""MATEJ"""
bridge_structure_008.graphml,"Which PERSON is associated with English cuisine, aerostation, and Erasmus, and has an authoritative relationship with the narrator?","""MISTER TITCH"""
bridge_structure_015.graphml,"Which PERSON has been influenced by the drought, cultural considerations, the presence of Europeans, and the potential authority of the Serkali?","""KARANJA"""
bridge_structure_002.graphml,"Which PERSON is involved in the warrior role, council leadership, and supported by Irumu, a great magician?","""MUTHENGI"""
bridge_structure_009.graphml,"Which PERSON demonstrates leadership and success through their expedition, while also being involved in conflicts with KARUE and maintaining a close relationship with MATU?","""WASERU"""
bridge_structure_010.graphml,"Which Stranger is involved in conflict resolution, payment, and has a relationship with Muthengi and a clan?","""STRANGER"""
bridge_structure_005.graphml,"Which PERSON is associated with Ceylon ginger, Richard Black's inheritance, Erasmus, and mentorship of the narrator?","""MISTER TITCH"""
bridge_structure_006.graphml,"Which PERSON does Bobur share his problems and experiences with, engaging in conversations and showing care, while also involving the narrator's husband Eric in interactions and demonstrating a close relationship?","""ERIC"""
bridge_structure_001.graphml,"Which PERSON are responsible for leading the charge in the expulsion mission from Kaheri's district, as part of the community action against the sorcerer, while also being influenced by the peace agreement and tribute demands from the Stranger?","""WARRIORS"""
bridge_structure_003.graphml,"Which PERSON is mentioned in relation to Reri, Kagama's eldest son, and Marafu's tax imposed by the Serkali?","""SERKALI"""
bridge_structure_011.graphml,"Which PERSON is influenced by both the tribal group in Eldoret and the European lifestyle, impacting his decisions regarding expansion, labor exploitation, and modernization?","""KARANJA"""
bridge_structure_018.graphml,Which PERSON is fascinated by aeroplanes and turns to a sorcerer?,"""KARANJA"""
bridge_structure_024.graphml,Which person is connected to the dances and the conflict with Matu?,"""MUTHENGI"""
bridge_structure_023.graphml,"Which PERSON is deeply involved in agricultural activities with Matu, shares a significant family bond, and has a child named Karanja?","""WANJA"""
bridge_structure_029.graphml,"Which European authority influences the Serkali's laws and impacts the community's way of life, potentially related to Karanja's wealth and Muthengi's social connection?","""SERKALI"""
