file,query,answer
star_structure_004.graphml,Which Insect is most commonly associated with public health concerns and swarms in the United States?,"""AFRICANIZED BEE"""
star_structure_007.graphml,"Which Company is associated with GRASS, JOHNSTONE-WALLACE, GRASS HEIGHT, and HERD?","""SWARD"""
star_structure_015.graphml,"Which Chemical substances include K2O, PHOSPHORIC ACID, HERBAGE, and P2O5?","""FERTILISERS"""
star_structure_009.graphml,"Which Substance is most affected by HERBAGE, EROSION, POTASH, and PH LEVEL?","""SOIL"""
star_structure_021.graphml,"Which Organ part is associated with GRASS TETANY, PROTEINS, a COW, and SYNGE?","""RUMEN"""
star_structure_003.graphml,"Which hobby involves working with EXTRACTOR, supporting LOCAL BEEKEEPERS', and attending ANNUAL BEE SCHOOLS?","""BEEKEEPING"""
star_structure_025.graphml,Which Company conducted an experiment at Cornell University on grassland rotation involving grass?,"""JOHNSTONE-WALLACE"""
star_structure_002.graphml,"Which ""Experiment"" is directly related to WAGNER, VOISIN, JOHNSTONE-WALLACE, and MARTIN JONES?","""EXPERIMENT"""
star_structure_016.graphml,Which Fertilizer Trials were conducted by SCHULZE at Rengen Estate involving pastures and supervised by Professor Klapp?,"""FERTILISER APPLICATION TRIALS"""
star_structure_011.graphml,"Which ""Financial metric"" is most closely related to FRESH GRASS, VIGOR OF GROWTH, OCCUPATION, and PHOSPHO-POTASSIC FERTILISER (PK)?","""YIELD"""
star_structure_006.graphml,"Which ""Plant life"" is most relevant to the Agricultural Adviser in managing Paddock 1, Paddock 2, and Paddock 3?","""FLORA"""
star_structure_017.graphml,"Which Microorganisms are found in Earthworms and Soil, particularly around the Roots?","""MICRO-FAUNA"""
star_structure_019.graphml,"which Family Tree includes GROWTH, HERBAGE PLANTS, MICRO-FAUNA, and COW?","""ROOTS"""
star_structure_005.graphml,"Which Plant life requires complete fertiliser, grass, nitrogen, and is central to agriculture?","""VEGETATION"""
star_structure_022.graphml,"Which Toxin is commonly associated with bee stings and of interest to individual beekeepers, humans, and drug companies?","""BEE VENOM"""
star_structure_013.graphml,Which Agriculture Technique involves using Red Clover in Grassland Rotation to manage UNTOWARD ACCELERATION on Pasture?,"""CONTINUOUS GRAZING"""
star_structure_020.graphml,"Which Insect is involved in HONEY PRODUCTION, where LARVAE develop within a COMB in a BEE COLONY?","""WORKER BEES"""
star_structure_012.graphml,Which Adjective describes the 1-INCH SIZE HIVE component made of CLOTH and intended for PORTER BEE ESCAPE?,"""SUPER"""
star_structure_018.graphml,"Which Rotation grazing was studied by GEITH, UNTOWARD ACCELERATION, in the BELTSVILLE EXPERIMENTS under the guidance of PROFESSOR KLAPP?","""ROTATION GRAZING"""
star_structure_014.graphml,"which Structure is 4 FEET WIDE, made of TREATED LUMBER, and resembles a HIVE, often constructed from PINE?","""HIVE STAND"""
star_structure_027.graphml,Which Plant affects NEW TILLER GROWTH and RESERVE SUBSTANCES?,"""HERBAGE PLANT"""
star_structure_024.graphml,"Which Annelid species are commonly found in PERMANENT PASTURES, LEYS, ARABLE FIELDS, and how do they contribute to the FOOD SUPPLY?","""EARTHWORM"""
star_structure_008.graphml,"Which Art was closely associated with RANCH CATTLE, AMERICAN FARMERS, the FIRST WORLD WAR, and FRESH GRASS?","""PASTURES"""
star_structure_030.graphml,"Which Frames are used in HIVES, SUPER, BEE SPACE, and FOUNDATION?","""FRAMES"""
star_structure_031.graphml,"Which Software is used for OPOSSUMS, MICE, ANTS, and WORKER?","""HIVE"""
star_structure_026.graphml,"Which Agriculture involves COW, 10 CWT. COW, 12 CWT. COW, and CONCENTRATES?","""MILK PRODUCTION"""
star_structure_035.graphml,Which Sweetener is most suitable for HOUSE BEES and FIELD BEES when using a FEEDER?,"""NECTAR"""
star_structure_023.graphml,"Which Martin Jones is associated with ""DYNAMIC ECOLOGY OF PASTURES,"" ""FOURTH INTERNATIONAL GRASSLAND CONGRESS,"" ""FLORA,"" and ""PASTURES""?","""MARTIN JONES"""
star_structure_001.graphml,"Which Artwork is related to the Texas Research Foundation, Optimum Height for Grass Grazing, Earthworm, and Falke?","""PERMANENT PASTURES"""
star_structure_028.graphml,"Which Plants have a high PALATABILITY INDEX as studied by Professor Anderson, IVINS?","""PASTURE PLANTS"""
